conv,bar,side,entry,sl,tp,dist
open,2026-09-18T08:50,BUY,4388.35,4386.12,4392.8,2.23
open,2026-09-18T08:51,BUY,4387.8,4386.12,4391.15,1.68
open,2026-09-18T09:25,BUY,4387.55,4386.12,4390.41,1.43
open,2026-09-18T09:26,BUY,4387.04,4386.12,4388.88,0.92
open,2026-09-18T09:27,BUY,4387.81,4386.12,4391.19,1.69
open,2026-09-18T09:28,BUY,4388.11,4386.12,4392.09,1.99
open,2026-09-18T09:29,BUY,4387.94,4386.12,4391.57,1.82
closed,2026-09-18T09:25,BUY,4387.55,4386.12,4390.41,1.43
closed,2026-09-18T09:26,BUY,4387.04,4386.12,4388.88,0.92
closed,2026-09-18T09:27,BUY,4387.81,4386.12,4391.19,1.69
closed,2026-09-18T09:28,BUY,4388.11,4386.12,4392.09,1.99
closed,2026-09-18T09:29,BUY,4387.94,4386.12,4391.57,1.82
closed,2026-09-18T09:30,BUY,4387.35,4386.12,4389.82,1.23
closed,2026-09-18T09:31,BUY,4388.61,4386.12,4393.6,2.49
closed,2026-09-18T09:32,BUY,4387.69,4386.12,4390.82,1.57
