strategy,position_id,created_at,symbol,quantity,total_buy_quantity,avg_buy_price,avg_sell_price,realized_profit_loss,user_broker_id,exit_at,exit_kind,entry_lots,entry_side,usd,pts,month,hour_utc
S99 MSS FVG Reversal,13dd7ddd-220c-4478-93b9-4e475bed0825,2026-07-07 01:31:17.869759+00:00,XAU_USD,0.0,0.0,0.0,4136.9,-0.67,43e48e58-aec5-468e-9fb7-db36a6c846a1,2026-07-07 01:33:23.408372+00:00,STOPLOSS,0.2,SELL,-67.0,-3.35,2026-07,1
S99 MSS FVG Reversal,3e5e591c-bba4-4592-b30b-ebe6674c5747,2026-07-07 08:22:06.209185+00:00,XAU_USD,0.0,0.08,4134.88,0.0,-0.39,43e48e58-aec5-468e-9fb7-db36a6c846a1,2026-07-07 08:43:09.329182+00:00,STOPLOSS,0.08,BUY,-39.0,-4.875,2026-07,8
S99 MSS FVG Reversal,9bfcb3a5-3ac4-4483-81a3-10f9ba8eb30c,2026-07-07 09:13:19.127603+00:00,XAU_USD,0.0,0.0,0.0,4127.31,0.15,43e48e58-aec5-468e-9fb7-db36a6c846a1,2026-07-07 09:13:31.630768+00:00,TARGET,0.1,SELL,15.0,1.4999999999999998,2026-07,9
S99 MSS FVG Reversal,98a193b0-3d14-4636-ba84-7de51d66da9e,2026-07-07 09:48:08.070591+00:00,XAU_USD,0.0,0.1,4128.11,0.0,-0.18,43e48e58-aec5-468e-9fb7-db36a6c846a1,2026-07-07 09:50:01.145148+00:00,STOPLOSS,0.1,BUY,-18.0,-1.7999999999999998,2026-07,9
S99 MSS FVG Reversal,95ecb93e-e610-4928-82b0-f219c9b9090b,2026-07-07 11:32:14.397712+00:00,XAU_USD,0.0,0.06,4140.77,0.0,0.45,43e48e58-aec5-468e-9fb7-db36a6c846a1,2026-07-07 11:44:58.604107+00:00,TARGET,0.06,BUY,45.0,7.500000000000001,2026-07,11
S99 MSS FVG Reversal,63c5ba00-3502-4c90-a86e-3a93371194bf,2026-07-07 12:21:19.502665+00:00,XAU_USD,0.0,0.05,4166.66,0.0,0.49,43e48e58-aec5-468e-9fb7-db36a6c846a1,2026-07-07 13:00:14.335862+00:00,TARGET,0.05,BUY,49.0,9.799999999999999,2026-07,12
S99 MSS FVG Reversal,85d58a6c-7aca-44db-a36b-5454e419ce48,2026-07-08 07:29:08.256260+00:00,XAU_USD,0.0,0.0,0.0,4120.13,-0.43,43e48e58-aec5-468e-9fb7-db36a6c846a1,2026-07-08 07:31:59.831836+00:00,STOPLOSS,0.1,SELL,-43.0,-4.3,2026-07,7
S99 MSS FVG Reversal,86c80867-8aaa-46c6-9e7b-bac984ff14ee,2026-07-08 09:16:03.720099+00:00,XAU_USD,0.0,0.0,0.0,4057.39,0.57,43e48e58-aec5-468e-9fb7-db36a6c846a1,2026-07-08 09:43:13.831675+00:00,TARGET,0.06,SELL,56.99999999999999,9.5,2026-07,9
S99 MSS FVG Reversal,8cbdfa7a-7117-4068-b025-7fd33a64933d,2026-07-08 14:52:22.938250+00:00,XAU_USD,0.0,0.0,0.0,4043.48,-0.04,43e48e58-aec5-468e-9fb7-db36a6c846a1,2026-07-08 14:52:23.964755+00:00,STOPLOSS,0.1,SELL,-4.0,-0.39999999999999997,2026-07,14
S99 MSS FVG Reversal,eb732283-c517-4482-888a-9faaf7d8fd49,2026-07-08 15:21:22.882182+00:00,XAU_USD,0.0,0.0,0.0,4033.12,0.4,43e48e58-aec5-468e-9fb7-db36a6c846a1,2026-07-08 15:22:35.115671+00:00,TARGET,0.09,SELL,40.0,4.444444444444445,2026-07,15
