strategy,signal_at,created_at,side,entry_price,stop_loss,take_profit,reason,status,rejection_reason,position_id
S99 MSS FVG Reversal,2026-07-07 01:31:15.185502+00:00,2026-07-07 01:31:15.185523+00:00,SELL,4137.265,4139.05,4134.59,S99_MSS_FVG_SHORT,PLACED,,13dd7ddd-220c-4478-93b9-4e475bed0825
S99 MSS FVG Reversal,2026-07-07 08:22:03.139553+00:00,2026-07-07 08:22:03.139573+00:00,BUY,4134.485,4130.07,4141.11,S99_MSS_FVG_LONG,PLACED,,3e5e591c-bba4-4592-b30b-ebe6674c5747
S99 MSS FVG Reversal,2026-07-07 09:13:17.659237+00:00,2026-07-07 09:13:17.659253+00:00,SELL,4128.84,4129.87,4127.3,S99_MSS_FVG_SHORT,PLACED,,9bfcb3a5-3ac4-4483-81a3-10f9ba8eb30c
S99 MSS FVG Reversal,2026-07-07 09:48:06.864089+00:00,2026-07-07 09:48:06.864106+00:00,BUY,4129.39,4127.42,4132.35,S99_MSS_FVG_LONG,PLACED,,98a193b0-3d14-4636-ba84-7de51d66da9e
S99 MSS FVG Reversal,2026-07-07 11:32:12.959861+00:00,2026-07-07 11:32:12.959877+00:00,BUY,4139.63,4133.54,4148.77,S99_MSS_FVG_LONG,PLACED,,95ecb93e-e610-4928-82b0-f219c9b9090b
S99 MSS FVG Reversal,2026-07-07 12:21:18.142620+00:00,2026-07-07 12:21:18.142642+00:00,BUY,4165.88,4158.77,4176.54,S99_MSS_FVG_LONG,PLACED,,63c5ba00-3502-4c90-a86e-3a93371194bf
S99 MSS FVG Reversal,2026-07-08 07:29:06.993124+00:00,2026-07-08 07:29:06.993142+00:00,SELL,4121.365,4124.31,4116.95,S99_MSS_FVG_SHORT,PLACED,,85d58a6c-7aca-44db-a36b-5454e419ce48
S99 MSS FVG Reversal,2026-07-08 08:47:12.505997+00:00,2026-07-08 08:47:12.506013+00:00,SELL,4068.12,4080.39,4049.72,S99_MSS_FVG_SHORT,REJECTED,no_add_to_loser,
S99 MSS FVG Reversal,2026-07-08 09:16:01.871859+00:00,2026-07-08 09:16:01.871882+00:00,SELL,4056.995,4063.08,4047.87,S99_MSS_FVG_SHORT,PLACED,,86c80867-8aaa-46c6-9e7b-bac984ff14ee
S99 MSS FVG Reversal,2026-07-08 14:52:21.526758+00:00,2026-07-08 14:52:21.526774+00:00,SELL,4040.375,4043.87,4035.13,S99_MSS_FVG_SHORT,PLACED,,8cbdfa7a-7117-4068-b025-7fd33a64933d
S99 MSS FVG Reversal,2026-07-08 15:21:20.967102+00:00,2026-07-08 15:21:20.967117+00:00,SELL,4034.915,4039.09,4028.65,S99_MSS_FVG_SHORT,PLACED,,eb732283-c517-4482-888a-9faaf7d8fd49
S99 MSS FVG Reversal,2026-07-09 06:41:13.908173+00:00,2026-07-09 06:41:13.908190+00:00,BUY,4097.555,4094.56,4102.05,S99_MSS_FVG_LONG,PLACED,,0949f909-4087-4f8a-9b23-166958b87a6b
S99 MSS FVG Reversal,2026-07-09 08:31:14.769036+00:00,2026-07-09 08:31:14.769078+00:00,BUY,4114.125,4112.32,4116.83,S99_MSS_FVG_LONG,PLACED,,db7a231b-b5c9-444f-8e3e-089380b313da
S99 MSS FVG Reversal,2026-07-09 11:01:06.891304+00:00,2026-07-09 11:01:06.891321+00:00,SELL,4099.465,4100.28,4098.24,S99_MSS_FVG_SHORT,PLACED,,316f761a-8543-4cb1-8e6e-f7a0d1fb357a
S99 MSS FVG Reversal,2026-07-09 12:16:01.102281+00:00,2026-07-09 12:16:01.102297+00:00,BUY,4112.365,4109.21,4117.1,S99_MSS_FVG_LONG,PLACED,,a15a6a89-9677-4a6d-83df-309c21aa1706
S99 MSS FVG Reversal,2026-07-10 07:51:20.318427+00:00,2026-07-10 07:51:20.318445+00:00,SELL,4107.465,4111.2,4101.86,S99_MSS_FVG_SHORT,REJECTED,no_add_to_loser,
S99 MSS FVG Reversal,2026-07-10 09:01:05.885727+00:00,2026-07-10 09:01:05.885744+00:00,SELL,4098.775,4100.63,4095.99,S99_MSS_FVG_SHORT,REJECTED,no_add_to_loser,
S99 MSS FVG Reversal,2026-07-10 11:41:17.820254+00:00,2026-07-10 11:41:17.820270+00:00,SELL,4099.96,4100.86,4098.61,S99_MSS_FVG_SHORT,PLACED,,57f89551-72aa-42fe-bcc5-fcad3d83bc9d
S99 MSS FVG Reversal,2026-07-10 12:21:17.341794+00:00,2026-07-10 12:21:17.341810+00:00,BUY,4108.01,4103.2,4115.23,S99_MSS_FVG_LONG,PLACED,,c4bd3bd0-2406-4551-ab81-6c4d7c2d693c
S99 MSS FVG Reversal,2026-07-13 06:22:06.635395+00:00,2026-07-13 06:22:06.635416+00:00,SELL,4056.36,4059.06,4052.31,S99_MSS_FVG_SHORT,PLACED,,347d5202-5498-454a-af5c-b550f3824d45
S99 MSS FVG Reversal,2026-07-13 08:31:19.566373+00:00,2026-07-13 08:31:19.566391+00:00,BUY,4073.595,4070.68,4077.97,S99_MSS_FVG_LONG,REJECTED,no_add_to_loser,
S99 MSS FVG Reversal,2026-07-13 10:51:06.241965+00:00,2026-07-13 10:51:06.241989+00:00,SELL,4054.545,4066.97,4035.91,S99_MSS_FVG_SHORT,PLACED,,f71a56f1-f1d3-4b9f-9938-25bd42738aba
S99 MSS FVG Reversal,2026-07-13 12:01:05.331736+00:00,2026-07-13 12:01:05.331767+00:00,SELL,4057.97,4061.66,4052.43,S99_MSS_FVG_SHORT,PLACED,,4f852ff0-e313-4d85-a22c-b2a2e1c59763
S99 MSS FVG Reversal,2026-07-13 12:58:18.187451+00:00,2026-07-13 12:58:18.187467+00:00,BUY,4064.36,4063.19,4066.12,S99_MSS_FVG_LONG,REJECTED,sl_too_tight: 1.17pt < 1.5pt,
S99 MSS FVG Reversal,2026-07-13 14:26:15.459194+00:00,2026-07-13 14:26:15.459212+00:00,SELL,4022.35,4035.93,4001.98,S99_MSS_FVG_SHORT,REJECTED,no_add_to_loser,
S99 MSS FVG Reversal,2026-07-14 07:14:13.066286+00:00,2026-07-14 07:14:13.066303+00:00,BUY,4025.665,4024.36,4027.62,S99_MSS_FVG_LONG,REJECTED,sl_too_tight: 1.30pt < 1.5pt,
S99 MSS FVG Reversal,2026-07-14 11:31:17.620574+00:00,2026-07-14 11:31:17.620590+00:00,BUY,4024.705,4023.34,4026.75,S99_MSS_FVG_LONG,REJECTED,sl_too_tight: 1.36pt < 1.5pt,
S99 MSS FVG Reversal,2026-07-14 12:51:16.142637+00:00,2026-07-14 12:51:16.142653+00:00,BUY,4081.835,4028.98,4161.12,S99_MSS_FVG_LONG,PLACED,,bc04fb88-8dc0-428a-b0f6-f2e3be34dc62
S99 MSS FVG Reversal,2026-07-15 13:27:15.461967+00:00,2026-07-15 13:27:15.461988+00:00,BUY,4057.35,4053.58,4063.0,S99_MSS_FVG_LONG,PLACED,,90d35304-ff45-407a-bedd-e50850b460ec
S99 MSS FVG Reversal,2026-07-15 15:26:09.136263+00:00,2026-07-15 15:26:09.136282+00:00,SELL,4047.0,4055.53,4034.2,S99_MSS_FVG_SHORT,PLACED,,ec6adfc0-704c-4d28-bc8f-8277cd92a757
S99 MSS FVG Reversal,2026-07-16 06:13:03.074780+00:00,2026-07-16 06:13:03.074802+00:00,BUY,4031.205,4028.53,4035.22,S99_MSS_FVG_LONG,REJECTED,entry_drift: drift +0.64pt vs budget 0.50pt (ltp 4031.84),
S99 MSS FVG Reversal,2026-07-16 11:35:12.566880+00:00,2026-07-16 11:35:12.566897+00:00,SELL,4030.25,4030.89,4029.29,S99_MSS_FVG_SHORT,REJECTED,sl_too_tight: 0.64pt < 1.5pt,
S99 MSS FVG Reversal,2026-07-16 13:11:13.122683+00:00,2026-07-16 13:11:13.122701+00:00,SELL,3986.455,3992.76,3977.0,S99_MSS_FVG_SHORT,REJECTED,entry_drift: drift +1.05pt vs budget 0.50pt (ltp 3985.40),
S99 MSS FVG Reversal,2026-07-16 15:57:16.560662+00:00,2026-07-16 15:57:16.560681+00:00,BUY,4007.02,3997.78,4020.88,S99_MSS_FVG_LONG,PLACED,,8cd26436-6fad-42bb-b328-3221f2875bc2
S99 MSS FVG Reversal,2026-07-17 06:26:11.788748+00:00,2026-07-17 06:26:11.788768+00:00,BUY,4001.91,3999.78,4005.1,S99_MSS_FVG_LONG,REJECTED,entry_drift: drift +1.58pt vs budget 0.50pt (ltp 4003.49),
S99 MSS FVG Reversal,2026-07-17 08:26:02.891193+00:00,2026-07-17 08:26:02.891217+00:00,SELL,3994.765,3997.25,3991.04,S99_MSS_FVG_SHORT,PLACED,,41413f5a-b93b-4311-b3cc-a1f152e740da
S99 MSS FVG Reversal,2026-07-17 09:00:18.569438+00:00,2026-07-17 09:00:18.569456+00:00,BUY,3993.995,3992.44,3996.33,S99_MSS_FVG_LONG,REJECTED,entry_drift: drift +0.80pt vs budget 0.39pt (ltp 3994.80),
S99 MSS FVG Reversal,2026-07-17 11:02:20.446820+00:00,2026-07-17 11:02:20.446837+00:00,SELL,3994.025,3995.97,3991.11,S99_MSS_FVG_SHORT,PLACED,,84bd061f-3825-45fb-8032-fe2388599c3b
S99 MSS FVG Reversal,2026-07-17 12:11:08.439415+00:00,2026-07-17 12:11:08.439432+00:00,SELL,3991.82,3994.47,3987.85,S99_MSS_FVG_SHORT,PLACED,,e055fff8-67c9-455a-8cd7-434579ab237c
S99 MSS FVG Reversal,2026-07-17 12:31:19.460948+00:00,2026-07-17 12:31:19.460966+00:00,SELL,3987.93,3989.89,3984.99,S99_MSS_FVG_SHORT,REJECTED,news_blackout,
S99 MSS FVG Reversal,2026-07-17 13:05:09.767321+00:00,2026-07-17 13:05:09.767339+00:00,SELL,3973.28,3978.71,3965.14,S99_MSS_FVG_SHORT,REJECTED,duplicate_entry,
S99 MSS FVG Reversal,2026-07-20 06:41:01.944825+00:00,2026-07-20 06:41:01.944860+00:00,SELL,4005.665,4007.66,4002.67,S99_MSS_FVG_SHORT,PLACED,,e744a1d2-d24d-473d-8ee8-982196573844
S99 MSS FVG Reversal,2026-07-20 07:52:21.000313+00:00,2026-07-20 07:52:21.000331+00:00,BUY,4016.24,4012.91,4021.23,S99_MSS_FVG_LONG,REJECTED,entry_drift: drift +2.28pt vs budget 0.50pt (ltp 4018.51),
S99 MSS FVG Reversal,2026-07-20 11:43:01.563294+00:00,2026-07-20 11:43:01.563316+00:00,BUY,4029.51,4022.85,4039.5,S99_MSS_FVG_LONG,REJECTED,entry_drift: drift +0.81pt vs budget 0.50pt (ltp 4030.32),
S99 MSS FVG Reversal,2026-07-21 07:06:18.189675+00:00,2026-07-21 07:06:18.189695+00:00,BUY,4077.085,4075.25,4079.84,S99_MSS_FVG_LONG,PLACED,,aa55881b-31bd-44e0-b868-f50240aaf21e
S99 MSS FVG Reversal,2026-07-21 08:33:06.346098+00:00,2026-07-21 08:33:06.346121+00:00,SELL,4064.74,4066.77,4061.7,S99_MSS_FVG_SHORT,PLACED,,dec23985-9788-4113-8641-8b11c0424980
S99 MSS FVG Reversal,2026-07-21 11:13:19.489314+00:00,2026-07-21 11:13:19.489333+00:00,SELL,4059.08,4063.33,4052.7,S99_MSS_FVG_SHORT,PLACED,,d3b9d0f1-a0e8-4fd8-b555-8aee50b27287
S99 MSS FVG Reversal,2026-07-21 12:46:03.953298+00:00,2026-07-21 12:46:03.953317+00:00,SELL,4056.2,4059.99,4050.52,S99_MSS_FVG_SHORT,REJECTED,entry_drift: drift +0.62pt vs budget 0.50pt (ltp 4055.58),
S99 MSS FVG Reversal,2026-07-21 13:51:05.288963+00:00,2026-07-21 13:51:05.288985+00:00,SELL,4050.665,4052.49,4047.93,S99_MSS_FVG_SHORT,REJECTED,soft_daily_brake: daily P&L -132.00 USD <= -120 soft brake,
S99 MSS FVG Reversal,2026-07-21 15:41:18.402632+00:00,2026-07-21 15:41:18.402649+00:00,BUY,4078.885,4077.52,4080.93,S99_MSS_FVG_LONG,REJECTED,sl_too_tight: 1.37pt < 1.5pt,
S99 MSS FVG Reversal,2026-07-22 06:36:07.484100+00:00,2026-07-22 06:36:07.484126+00:00,SELL,4119.57,4125.29,4110.99,S99_MSS_FVG_SHORT,REJECTED,entry_drift: drift +0.75pt vs budget 0.50pt (ltp 4118.82),
S99 MSS FVG Reversal,2026-07-22 07:55:11.327493+00:00,2026-07-22 07:55:11.327517+00:00,SELL,4113.665,4115.77,4110.51,S99_MSS_FVG_SHORT,PLACED,,27e46302-f490-4e2b-bdd4-a081fe6da4b8
S99 MSS FVG Reversal,2026-07-22 15:18:19.430243+00:00,2026-07-22 15:18:19.430260+00:00,BUY,4153.82,4149.02,4161.02,S99_MSS_FVG_LONG,REJECTED,metaapi_rejection,
S99 MSS FVG Reversal,2026-07-22 15:56:19.400576+00:00,2026-07-22 15:56:19.400592+00:00,BUY,4162.47,4160.09,4166.04,S99_MSS_FVG_LONG,REJECTED,metaapi_rejection,
S99 MSS FVG Reversal,2026-07-23 07:17:19.876204+00:00,2026-07-23 07:17:19.876227+00:00,SELL,4110.58,4114.98,4103.98,S99_MSS_FVG_SHORT,REJECTED,duplicate_entry,
S99 MSS FVG Reversal,2026-07-23 08:01:19.618259+00:00,2026-07-23 08:01:19.618278+00:00,SELL,4097.03,4100.72,4091.49,S99_MSS_FVG_SHORT,REJECTED,entry_drift: drift +5.73pt vs budget 0.50pt (ltp 4091.30),
S99 MSS FVG Reversal,2026-07-23 13:20:07.119331+00:00,2026-07-23 13:20:07.119349+00:00,SELL,4047.52,4056.09,4034.66,S99_MSS_FVG_SHORT,PLACED,,42459629-372b-4d88-a8a0-d73170b8d924
S100 M3 Combo Scalper,2026-07-23 13:20:19.954067+00:00,2026-07-23 13:20:19.954089+00:00,SELL,4049.56,4053.61,4039.43,S100_FVG_SHORT,REJECTED,duplicate_entry,
S100 M3 Combo Scalper,2026-07-23 13:43:19.942503+00:00,2026-07-23 13:43:19.942522+00:00,SELL,4059.28,4063.46,4048.85,S100_FVG_SHORT,PLACED,,1a09cfb9-af6e-4851-a488-b09bc30b3e97
S100 M3 Combo Scalper,2026-07-23 14:10:23.096796+00:00,2026-07-23 14:10:23.096815+00:00,SELL,4045.36,4047.06,4041.11,S100_OB_SHORT,REJECTED,entry_drift: drift +0.45pt vs budget 0.42pt (ltp 4044.91),
S100 M3 Combo Scalper,2026-07-23 15:37:16.238350+00:00,2026-07-23 15:37:16.238369+00:00,SELL,4048.8,4050.36,4044.91,S100_OB_SHORT,PLACED,,44a96bc9-72f1-4f7e-b083-9b4b84996c69
S100 M3 Combo Scalper,2026-07-24 01:12:18.013544+00:00,2026-07-24 01:12:18.013563+00:00,SELL,4041.49,4044.38,4034.28,S100_RSI3_MOMO_SHORT,REJECTED,entry_drift: drift +0.66pt vs budget 0.50pt (ltp 4040.83),
S100 M3 Combo Scalper,2026-07-24 04:06:02.487334+00:00,2026-07-24 04:06:02.487360+00:00,SELL,4030.41,4031.25,4028.29,S100_OB_SHORT,REJECTED,sl_too_tight: 0.84pt < 1.5pt,
S100 M3 Combo Scalper,2026-07-24 04:14:17.827563+00:00,2026-07-24 04:14:17.827585+00:00,SELL,4029.15,4029.66,4027.65,S100_OB_SHORT,REJECTED,sl_too_tight: 0.51pt < 1.5pt,
S100 M3 Combo Scalper,2026-07-24 04:58:20.765081+00:00,2026-07-24 04:58:20.765099+00:00,SELL,4027.89,4029.0,4025.12,S100_FVG_SHORT,REJECTED,sl_too_tight: 1.11pt < 1.5pt,
S100 M3 Combo Scalper,2026-07-24 05:24:07.960078+00:00,2026-07-24 05:24:07.960106+00:00,SELL,4028.16,4030.97,4021.11,S100_OB_SHORT,PLACED,,00e9210f-a843-4f5b-946e-9e4514ed3ab0
S100 M3 Combo Scalper,2026-07-24 06:03:18.192503+00:00,2026-07-24 06:03:18.192523+00:00,SELL,4025.72,4028.18,4019.59,S100_FVG_SHORT,REJECTED,entry_drift: drift +1.57pt vs budget 0.50pt (ltp 4024.15),
S100 M3 Combo Scalper,2026-07-24 07:16:13.382409+00:00,2026-07-24 07:16:13.382430+00:00,BUY,4044.82,4042.91,4049.59,S100_FVG_LONG,PLACED,,2cd1fb5a-c481-427f-84be-4e0c006906e8
S99 MSS FVG Reversal,2026-07-24 07:16:14.622777+00:00,2026-07-24 07:16:14.622797+00:00,BUY,4044.815,4039.64,4052.58,S99_MSS_FVG_LONG,PLACED,,75bb0b9e-dc82-4f89-b957-ec22c7554282
