label,strategy,model,cost,n,pts,pf,wr,train_n,train_pts,train_pf,test_n,test_pts,test_pf,maxdd,test_months,test_pos_share,test_max_share,gold_corr,up_pts,dn_pts,bar1_n,bar2_base,bar3_train,bar4_monthly,bar5_regime,n_outside_s5
s99_above_c0.75,s99_mss_fvg,mid_M1,0.75,1141,-662.2,0.799,41.0,642,-249.2,0.833,499,-413.0,0.771,-742.2,8,0.12,,-0.21,-494.0,-168.2,True,False,False,False,True,
s99_above_c0.75,s99_mss_fvg,mid_M1,1.0,1141,-947.5,0.727,40.9,642,-409.7,0.742,499,-537.8,0.713,-1008.9,8,0.12,,-0.26,-732.5,-215.0,True,False,False,False,True,
s99_above_c0.75,s99_mss_fvg,quote_S5,0.45,1141,-713.6,0.782,36.5,642,-262.1,0.822,499,-451.5,0.749,-783.7,8,0.25,,-0.24,-545.9,-167.6,True,False,False,False,True,0.0
s99_above_c0.75,s99_mss_fvg,quote_S5,0.7,1141,-998.8,0.711,36.5,642,-422.6,0.732,499,-576.3,0.693,-1054.2,8,0.12,,-0.28,-784.4,-214.4,True,False,False,False,True,0.0
s99_base_c0.75,s99_mss_fvg,mid_M1,0.75,1871,-940.2,0.834,42.1,910,-396.2,0.812,961,-544.0,0.847,-1026.5,10,0.2,,0.33,-421.3,-518.9,True,False,False,False,True,
s99_base_c0.75,s99_mss_fvg,mid_M1,1.0,1871,-1407.9,0.763,42.1,910,-623.7,0.722,961,-784.2,0.788,-1469.4,10,0.1,,0.33,-734.3,-673.6,True,False,False,False,True,
s99_base_c0.75,s99_mss_fvg,quote_S5,0.45,1871,-1001.2,0.822,38.2,910,-377.2,0.817,961,-624.0,0.825,-1093.4,10,0.4,,0.27,-470.3,-530.9,True,False,False,False,True,0.0
s99_base_c0.75,s99_mss_fvg,quote_S5,0.7,1871,-1469.0,0.751,38.2,910,-604.7,0.726,961,-864.3,0.767,-1535.2,10,0.2,,0.27,-783.3,-685.6,True,False,False,False,True,0.0
s99_base_c1.00,s99_mss_fvg,mid_M1,0.75,1871,-940.2,0.834,42.1,910,-396.2,0.812,961,-544.0,0.847,-1026.5,10,0.2,,0.33,-421.3,-518.9,True,False,False,False,True,
s99_base_c1.00,s99_mss_fvg,mid_M1,1.0,1871,-1407.9,0.763,42.1,910,-623.7,0.722,961,-784.2,0.788,-1469.4,10,0.1,,0.33,-734.3,-673.6,True,False,False,False,True,
s99_base_c1.00,s99_mss_fvg,quote_S5,0.45,1871,-1001.2,0.822,38.2,910,-377.2,0.817,961,-624.0,0.825,-1093.4,10,0.4,,0.27,-470.3,-530.9,True,False,False,False,True,0.0
s99_base_c1.00,s99_mss_fvg,quote_S5,0.7,1871,-1469.0,0.751,38.2,910,-604.7,0.726,961,-864.3,0.767,-1535.2,10,0.2,,0.27,-783.3,-685.6,True,False,False,False,True,0.0
s99_base_w400_c0.75,s99_mss_fvg,mid_M1,0.75,1871,-940.2,0.834,42.1,910,-396.2,0.812,961,-544.0,0.847,-1026.5,10,0.2,,0.33,-421.3,-518.9,True,False,False,False,True,
s99_base_w400_c0.75,s99_mss_fvg,mid_M1,1.0,1871,-1407.9,0.763,42.1,910,-623.7,0.722,961,-784.2,0.788,-1469.4,10,0.1,,0.33,-734.3,-673.6,True,False,False,False,True,
s99_base_w400_c0.75,s99_mss_fvg,quote_S5,0.45,1871,-1001.2,0.822,38.2,910,-377.2,0.817,961,-624.0,0.825,-1093.4,10,0.4,,0.27,-470.3,-530.9,True,False,False,False,True,0.0
s99_base_w400_c0.75,s99_mss_fvg,quote_S5,0.7,1871,-1469.0,0.751,38.2,910,-604.7,0.726,961,-864.3,0.767,-1535.2,10,0.2,,0.27,-783.3,-685.6,True,False,False,False,True,0.0
s99_below_c0.75,s99_mss_fvg,mid_M1,0.75,723,-275.4,0.883,43.8,261,-144.5,0.758,462,-130.9,0.925,-346.7,10,0.5,,0.67,75.3,-350.6,True,False,False,False,False,
s99_below_c0.75,s99_mss_fvg,mid_M1,1.0,723,-456.1,0.814,43.8,261,-209.7,0.67,462,-246.4,0.864,-501.1,10,0.4,,0.73,2.5,-458.6,True,False,False,False,False,
s99_below_c0.75,s99_mss_fvg,quote_S5,0.45,723,-273.5,0.882,40.8,261,-101.0,0.822,462,-172.5,0.902,-360.7,10,0.4,,0.7,89.8,-363.3,True,False,False,False,False,0.0
s99_below_c0.75,s99_mss_fvg,quote_S5,0.7,723,-454.3,0.813,40.8,261,-166.2,0.726,462,-288.0,0.842,-505.2,10,0.4,,0.75,17.0,-471.3,True,False,False,False,False,0.0
s99_bias_against_ema21_c0.75,s99_mss_fvg,mid_M1,0.75,314,-719.3,0.362,24.8,160,-309.2,0.332,154,-410.1,0.382,-723.2,10,0.0,,-0.07,-500.4,-218.9,True,False,False,False,True,
s99_bias_against_ema21_c0.75,s99_mss_fvg,mid_M1,1.0,314,-797.8,0.327,24.8,160,-349.2,0.294,154,-448.6,0.351,-801.2,10,0.0,,-0.08,-557.9,-239.9,True,False,False,False,True,
s99_bias_against_ema21_c0.75,s99_mss_fvg,quote_S5,0.45,314,-748.2,0.326,21.0,160,-304.4,0.316,154,-443.8,0.333,-744.9,10,0.0,,-0.03,-511.1,-237.1,True,False,False,False,True,0.0
s99_bias_against_ema21_c0.75,s99_mss_fvg,quote_S5,0.7,314,-826.7,0.295,21.0,160,-344.4,0.28,154,-482.3,0.305,-823.2,10,0.0,,-0.04,-568.6,-258.1,True,False,False,False,True,0.0
s99_bias_against_h1_c0.75,s99_mss_fvg,mid_M1,0.75,664,-652.2,0.682,38.4,311,-190.4,0.74,353,-461.8,0.651,-684.5,10,0.1,,0.21,-349.7,-302.5,True,False,False,False,True,
s99_bias_against_h1_c0.75,s99_mss_fvg,mid_M1,1.0,664,-818.2,0.621,38.3,311,-268.2,0.657,353,-550.0,0.6,-842.0,10,0.1,,0.21,-460.0,-358.3,True,False,False,False,True,
s99_bias_against_h1_c0.75,s99_mss_fvg,quote_S5,0.45,664,-704.5,0.656,34.3,311,-190.6,0.734,353,-513.8,0.613,-729.3,10,0.2,,0.21,-374.3,-330.1,True,False,False,False,True,0.0
s99_bias_against_h1_c0.75,s99_mss_fvg,quote_S5,0.7,664,-870.5,0.596,34.3,311,-268.4,0.651,353,-602.1,0.565,-889.5,10,0.1,,0.21,-484.6,-385.9,True,False,False,False,True,0.0
s99_bias_with_ema21_c0.75,s99_mss_fvg,mid_M1,0.75,1567,-226.1,0.95,45.6,752,-87.3,0.947,815,-138.9,0.952,-391.4,10,0.5,,0.43,80.4,-306.5,True,False,True,False,False,
s99_bias_with_ema21_c0.75,s99_mss_fvg,mid_M1,1.0,1567,-617.9,0.871,45.5,752,-275.3,0.843,815,-342.6,0.887,-738.6,10,0.4,,0.44,-176.8,-441.0,True,False,False,False,False,
s99_bias_with_ema21_c0.75,s99_mss_fvg,quote_S5,0.45,1567,-260.2,0.943,41.5,752,-77.3,0.952,815,-182.8,0.937,-435.6,10,0.4,,0.34,39.2,-299.4,True,False,True,False,True,0.0
s99_bias_with_ema21_c0.75,s99_mss_fvg,quote_S5,0.7,1567,-651.9,0.863,41.5,752,-265.3,0.847,815,-386.6,0.872,-782.2,10,0.4,,0.35,-218.0,-433.9,True,False,False,False,True,0.0
s99_bias_with_h1_c0.75,s99_mss_fvg,mid_M1,0.75,1221,-302.6,0.917,44.1,603,-211.0,0.848,618,-91.5,0.96,-399.4,10,0.4,,0.35,-75.3,-227.3,True,False,False,False,True,
s99_bias_with_h1_c0.75,s99_mss_fvg,mid_M1,1.0,1221,-607.8,0.841,44.1,603,-361.8,0.754,618,-246.0,0.895,-674.7,10,0.2,,0.35,-280.3,-327.5,True,False,False,False,True,
s99_bias_with_h1_c0.75,s99_mss_fvg,quote_S5,0.45,1221,-317.0,0.912,40.0,603,-195.5,0.856,618,-121.5,0.946,-435.6,10,0.4,,0.27,-101.9,-215.1,True,False,False,False,True,0.0
s99_bias_with_h1_c0.75,s99_mss_fvg,quote_S5,0.7,1221,-622.2,0.836,40.0,603,-346.3,0.761,618,-276.0,0.882,-700.6,10,0.2,,0.28,-306.9,-315.3,True,False,False,False,True,0.0
s99_buf0.1_c0.75,s99_mss_fvg,mid_M1,0.75,1584,-336.8,0.926,43.4,739,-206.3,0.875,845,-130.5,0.955,-434.6,10,0.3,,0.27,-112.1,-224.8,True,False,False,False,True,
