label,n,mid_train_pf75,mid_test_pf75,mid_test_pf100,mid_test_pts100,q_train_pf45,q_train_pf70,q_train_pts70,q_test_pf45,q_test_pf70,q_test_pts70,q_test_n,q_test_pos_share,q_test_max_share,q_gold_corr,q_up_pts,q_dn_pts,bar1,bar2,bar3,bar4,bar5,n_outside_s5
s99_base_c0.75,1871,0.812,0.847,0.788,-784.2,0.817,0.726,-604.7,0.825,0.767,-864.3,961,0.4,,0.27,-470.3,-530.9,True,False,False,False,True,0
s99_ident_c0.75,1871,0.812,0.847,0.788,-784.2,0.817,0.726,-604.7,0.825,0.767,-864.3,961,0.4,,0.27,-470.3,-530.9,True,False,False,False,True,0
s99_base_w400_c0.75,1871,0.812,0.847,0.788,-784.2,0.817,0.726,-604.7,0.825,0.767,-864.3,961,0.4,,0.27,-470.3,-530.9,True,False,False,False,True,0
s99_base_c1.00,1871,0.812,0.847,0.788,-784.2,0.817,0.726,-604.7,0.825,0.767,-864.3,961,0.4,,0.27,-470.3,-530.9,True,False,False,False,True,0
s99_mingap0.25_c0.75,1756,0.834,0.87,0.815,-655.8,0.834,0.744,-588.0,0.846,0.793,-738.6,835,0.2,,0.39,-310.6,-577.0,True,False,False,False,True,0
s99_mingap0.5_c0.75,1267,0.863,0.777,0.737,-775.8,0.863,0.779,-430.4,0.759,0.72,-826.1,550,0.2,,0.33,-347.2,-592.6,True,False,False,False,True,0
s99_mingap1.0_c0.75,405,1.046,0.864,0.835,-226.4,1.048,0.973,-21.3,0.824,0.795,-283.5,178,0.4,,0.31,60.5,-264.0,True,False,True,False,True,0
s99_buf0.1_c0.75,1584,0.875,0.955,0.886,-341.8,0.877,0.778,-382.6,0.918,0.852,-449.5,845,0.4,,0.43,-110.7,-325.5,True,False,False,False,False,0
s99_buf0.5_c0.75,2599,0.77,0.817,0.771,-1238.1,0.789,0.706,-1121.9,0.835,0.787,-1128.9,1130,0.3,,0.1,-981.5,-619.5,True,False,False,False,True,0
s99_buf1.0_c0.75,2731,0.777,0.757,0.727,-2029.6,0.805,0.737,-1437.8,0.747,0.718,-2088.3,1033,0.0,,-0.22,-1881.6,-961.7,True,False,False,False,True,0
s99_bias_with_ema21_c0.75,1567,0.947,0.952,0.887,-342.6,0.952,0.847,-265.3,0.937,0.872,-386.6,815,0.4,,0.34,39.2,-299.4,True,False,True,False,True,0
s99_bias_with_h1_c0.75,1221,0.848,0.96,0.895,-246.0,0.856,0.761,-346.3,0.946,0.882,-276.0,618,0.4,,0.27,-101.9,-215.1,True,False,False,False,True,0
s99_bias_against_ema21_c0.75,314,0.332,0.382,0.351,-448.6,0.316,0.28,-344.4,0.333,0.305,-482.3,154,0.0,,-0.03,-511.1,-237.1,True,False,False,False,True,0
s99_bias_against_h1_c0.75,664,0.74,0.651,0.6,-550.0,0.734,0.651,-268.4,0.613,0.565,-602.1,353,0.2,,0.21,-374.3,-330.1,True,False,False,False,True,0
s99_sweepn24_c0.75,1662,0.792,0.845,0.787,-705.5,0.812,0.722,-548.4,0.811,0.755,-817.9,851,0.2,,0.25,-456.8,-494.0,True,False,False,False,True,0
s99_sweepn96_c0.75,1998,0.81,0.843,0.783,-851.5,0.814,0.723,-649.1,0.822,0.764,-927.9,1030,0.3,,0.31,-501.2,-576.3,True,False,False,False,True,0
s99_retrace12_c0.75,1857,0.823,0.837,0.778,-818.8,0.826,0.734,-578.9,0.814,0.757,-900.1,957,0.3,,0.29,-450.2,-564.5,True,False,False,False,True,0
s99_retrace48_c0.75,1873,0.812,0.844,0.785,-796.4,0.817,0.726,-604.7,0.822,0.764,-875.8,963,0.4,,0.27,-470.3,-541.9,True,False,False,False,True,0
s99_buy_c0.75,982,0.77,0.854,0.791,-379.9,0.799,0.702,-328.0,0.824,0.763,-432.7,500,0.3,,0.23,-268.1,-247.0,True,False,False,False,True,0
s99_sell_c0.75,900,0.854,0.838,0.781,-416.2,0.834,0.748,-279.1,0.822,0.767,-445.3,471,0.6,,0.2,-201.3,-298.1,True,False,False,False,True,0
s99_above_c0.75,1141,0.833,0.771,0.713,-537.8,0.822,0.732,-422.6,0.749,0.693,-576.3,499,0.25,,-0.24,-545.9,-167.6,True,False,False,False,True,0
s99_below_c0.75,723,0.758,0.925,0.864,-246.4,0.822,0.726,-166.2,0.902,0.842,-288.0,462,0.4,,0.7,89.8,-363.3,True,False,False,False,False,0
s99_nolondon_c0.75,1003,0.912,0.857,0.804,-407.2,0.897,0.801,-251.8,0.847,0.794,-426.6,484,0.3,,0.26,-132.2,-295.5,True,False,False,False,True,0
s99_nony_c0.75,1044,0.689,0.822,0.758,-480.9,0.711,0.625,-420.4,0.782,0.72,-560.8,569,0.4,,0.3,-356.0,-364.2,True,False,False,False,True,0
