group,value,horizon_s,n,drift_real,drift_rand,diff,ci_lo,ci_hi,real_pos_share
level_type,ASIA,60,6808,0.032,0.016,0.016,-0.072,0.098,0.51
level_type,ASIA,300,6808,-0.162,0.08,-0.242,-0.408,-0.074,0.503
level_type,ASIA,900,6808,-0.432,0.012,-0.444,-0.712,-0.163,0.503
level_type,ASIA,3600,6808,-0.585,-0.051,-0.534,-1.058,0.043,0.5
level_type,H1,60,33856,0.026,0.003,0.023,-0.01,0.056,0.504
level_type,H1,300,33856,0.032,-0.006,0.038,-0.024,0.106,0.513
level_type,H1,900,33856,-0.098,-0.02,-0.078,-0.199,0.037,0.515
level_type,H1,3600,33856,-0.001,-0.049,0.048,-0.194,0.279,0.519
level_type,LON,60,6190,0.019,0.024,-0.006,-0.103,0.09,0.503
level_type,LON,300,6190,-0.237,0.031,-0.268,-0.488,-0.068,0.483
level_type,LON,900,6190,-0.377,-0.085,-0.293,-0.628,0.03,0.484
level_type,LON,3600,6190,-0.216,0.149,-0.366,-0.977,0.226,0.502
level_type,PD,60,5514,0.02,-0.013,0.032,-0.066,0.145,0.502
level_type,PD,300,5514,-0.03,-0.003,-0.028,-0.226,0.17,0.499
level_type,PD,900,5514,-0.167,-0.114,-0.053,-0.384,0.261,0.48
level_type,PD,3600,5514,-1.482,-0.622,-0.86,-1.524,-0.159,0.485
speed,0s,60,15836,0.036,0.001,0.035,-0.024,0.104,0.507
speed,0s,300,15836,-0.031,-0.01,-0.021,-0.142,0.105,0.512
speed,0s,900,15836,-0.238,-0.038,-0.2,-0.401,0.008,0.508
speed,0s,3600,15836,-0.329,-0.114,-0.215,-0.642,0.202,0.509
speed,5-30s,60,24058,0.029,0.021,0.008,-0.034,0.046,0.509
speed,5-30s,300,24058,-0.027,0.02,-0.047,-0.129,0.03,0.506
speed,5-30s,900,24058,-0.166,-0.013,-0.153,-0.287,-0.011,0.505
speed,5-30s,3600,24058,-0.199,-0.028,-0.17,-0.437,0.123,0.516
speed,35-120s,60,8712,0.022,-0.011,0.033,-0.026,0.087,0.494
speed,35-120s,300,8712,-0.015,0.025,-0.041,-0.156,0.082,0.502
speed,35-120s,900,8712,-0.117,-0.046,-0.071,-0.277,0.144,0.507
speed,35-120s,3600,8712,-0.314,-0.105,-0.208,-0.669,0.243,0.506
speed,125-300s,60,3762,-0.038,-0.034,-0.004,-0.082,0.079,0.488
speed,125-300s,300,3762,-0.105,-0.008,-0.097,-0.292,0.101,0.5
speed,125-300s,900,3762,-0.197,-0.112,-0.084,-0.397,0.241,0.501
speed,125-300s,3600,3762,-0.217,-0.292,0.076,-0.573,0.769,0.499
depth_ter,D-low,60,17512,-0.011,0.002,-0.013,-0.053,0.027,0.503
depth_ter,D-low,300,17512,-0.026,0.013,-0.039,-0.126,0.05,0.511
depth_ter,D-low,900,17512,-0.131,-0.013,-0.118,-0.258,0.023,0.507
depth_ter,D-low,3600,17512,-0.254,-0.075,-0.179,-0.482,0.109,0.509
depth_ter,D-mid,60,17422,0.019,0.001,0.018,-0.027,0.068,0.503
depth_ter,D-mid,300,17422,-0.043,-0.011,-0.032,-0.131,0.071,0.506
depth_ter,D-mid,900,17422,-0.127,-0.128,0.001,-0.166,0.165,0.509
depth_ter,D-mid,3600,17422,-0.193,-0.132,-0.061,-0.394,0.277,0.517
depth_ter,D-high,60,17434,0.067,0.013,0.053,-0.007,0.108,0.507
depth_ter,D-high,300,17434,-0.027,0.027,-0.054,-0.177,0.081,0.503
depth_ter,D-high,900,17434,-0.287,0.041,-0.328,-0.539,-0.124,0.503
depth_ter,D-high,3600,17434,-0.328,-0.051,-0.277,-0.676,0.137,0.508
split,TEST,60,27802,0.051,0.021,0.03,-0.02,0.083,0.512
split,TEST,300,27802,-0.047,0.016,-0.063,-0.157,0.04,0.509
split,TEST,900,27802,-0.259,-0.046,-0.213,-0.378,-0.041,0.509
split,TEST,3600,27802,-0.322,-0.188,-0.134,-0.501,0.217,0.516
split,TRAIN,60,24566,-0.004,-0.012,0.008,-0.014,0.034,0.496
split,TRAIN,300,24566,-0.015,0.003,-0.018,-0.067,0.034,0.504
split,TRAIN,900,24566,-0.094,-0.019,-0.075,-0.156,0.011,0.503
split,TRAIN,3600,24566,-0.187,0.029,-0.216,-0.398,-0.051,0.506
ALL,ALL,60,52368,0.025,0.005,0.02,-0.009,0.05,0.504
ALL,ALL,300,52368,-0.032,0.01,-0.042,-0.102,0.02,0.507
ALL,ALL,900,52368,-0.182,-0.033,-0.148,-0.25,-0.047,0.506
ALL,ALL,3600,52368,-0.258,-0.086,-0.172,-0.365,0.034,0.511
