label,group,n,REV,CONT,UNRESOLVED,rev_share_of_resolved
lab1,ALL,52368,35126,17232,10,0.671
lab1,PD,5514,3655,1858,1,0.663
lab1,ASIA,6808,4615,2193,0,0.678
lab1,H1,33856,22721,11127,8,0.671
lab1,LON,6190,4135,2054,1,0.668
lab2,ALL,52368,27427,24904,37,0.524
lab2,PD,5514,2881,2627,6,0.523
lab2,ASIA,6808,3652,3154,2,0.537
lab2,H1,33856,17654,16177,25,0.522
lab2,LON,6190,3240,2946,4,0.524
labf,ALL,52368,28703,23659,6,0.548
labf,PD,5514,3145,2369,0,0.57
labf,ASIA,6808,3775,3033,0,0.554
labf,H1,33856,18221,15629,6,0.538
labf,LON,6190,3562,2628,0,0.575
