label,group,var,n_rev,n_cont,med_rev,med_cont,diff_median,p_perm
lab1,ALL,log_depth,35126,17232,-0.862,-0.58,-0.282,0.0001
lab1,ALL,time_beyond,35126,17232,5.0,10.0,-5.0,0.0312
lab1,ALL,depth_spr,35126,17232,0.633,0.841,-0.207,0.0001
lab1,PD,log_depth,3655,1858,-0.799,-0.454,-0.344,0.0001
lab1,PD,time_beyond,3655,1858,5.0,10.0,-5.0,0.1127
lab1,PD,depth_spr,3655,1858,0.639,0.854,-0.215,0.0001
lab1,ASIA,log_depth,4615,2193,-0.868,-0.58,-0.288,0.0001
lab1,ASIA,time_beyond,4615,2193,5.0,10.0,-5.0,0.2705
lab1,ASIA,depth_spr,4615,2193,0.646,0.861,-0.215,0.0001
lab1,H1,log_depth,22721,11127,-0.892,-0.607,-0.285,0.0001
lab1,H1,time_beyond,22721,11127,5.0,10.0,-5.0,0.0001
lab1,H1,depth_spr,22721,11127,0.621,0.826,-0.205,0.0001
lab1,LON,log_depth,4135,2054,-0.787,-0.507,-0.281,0.0001
lab1,LON,time_beyond,4135,2054,5.0,10.0,-5.0,0.0007
lab1,LON,depth_spr,4135,2054,0.692,0.907,-0.214,0.0001
lab2,ALL,log_depth,27427,24904,-0.981,-0.536,-0.445,0.0001
lab2,ALL,time_beyond,27427,24904,5.0,10.0,-5.0,0.0105
lab2,ALL,depth_spr,27427,24904,0.558,0.882,-0.324,0.0001
lab2,PD,log_depth,2881,2627,-0.929,-0.393,-0.536,0.0001
lab2,PD,time_beyond,2881,2627,5.0,10.0,-5.0,0.0796
lab2,PD,depth_spr,2881,2627,0.559,0.899,-0.34,0.0001
lab2,ASIA,log_depth,3652,3154,-0.981,-0.545,-0.436,0.0001
lab2,ASIA,time_beyond,3652,3154,5.0,10.0,-5.0,0.2319
lab2,ASIA,depth_spr,3652,3154,0.579,0.922,-0.343,0.0001
lab2,H1,log_depth,17654,16177,-0.994,-0.571,-0.423,0.0001
lab2,H1,time_beyond,17654,16177,5.0,15.0,-10.0,0.0001
lab2,H1,depth_spr,17654,16177,0.545,0.855,-0.31,0.0001
lab2,LON,log_depth,3240,2946,-0.923,-0.431,-0.492,0.0001
lab2,LON,time_beyond,3240,2946,5.0,10.0,-5.0,0.0001
lab2,LON,depth_spr,3240,2946,0.595,0.986,-0.391,0.0001
labf,ALL,log_depth,28703,23659,-0.393,-1.155,0.762,0.0001
labf,ALL,time_beyond,28703,23659,10.0,5.0,5.0,0.0091
labf,ALL,depth_spr,28703,23659,0.962,0.5,0.462,0.0001
labf,PD,log_depth,3145,2369,-0.329,-1.094,0.765,0.0001
labf,PD,time_beyond,3145,2369,10.0,5.0,5.0,0.1032
labf,PD,depth_spr,3145,2369,0.954,0.5,0.454,0.0001
labf,ASIA,log_depth,3775,3033,-0.408,-1.155,0.747,0.0001
labf,ASIA,time_beyond,3775,3033,10.0,5.0,5.0,0.2585
labf,ASIA,depth_spr,3775,3033,1.005,0.525,0.481,0.0001
labf,H1,log_depth,18221,15629,-0.416,-1.171,0.756,0.0001
labf,H1,time_beyond,18221,15629,10.0,5.0,5.0,0.0001
labf,H1,depth_spr,18221,15629,0.943,0.492,0.451,0.0001
labf,LON,log_depth,3562,2628,-0.335,-1.124,0.788,0.0001
labf,LON,time_beyond,3562,2628,10.0,5.0,5.0,0.0001
labf,LON,depth_spr,3562,2628,1.024,0.517,0.507,0.0001
