label,strategy,status,cost,n,pf,pts,train_n,train_pf,train_pts,test_n,test_pf,test_pts,test_months,test_pos_month_share,test_max_month_share,gold_corr,up_months_pts,dn_months_pts,n_up,n_dn,bar1_n,bar2_base,bar3_train,bar4_monthly,bar5_regime,test_pf_stress,bar2_stress,bars_passed,verdict
rand_ASIA_T120_r0_c0.45,rand_ASIA_T120_r0,ok,0.45,3861,0.461,-3659.1,2047,0.386,-1830.2,1814,0.52,-1828.9,10,0.0,,0.35,-2326.4,-1332.7,18,8,True,False,False,False,True,0.427,False,2,FAIL
rand_ASIA_T120_r0_c0.80,rand_ASIA_T120_r0,ok,0.8,3861,0.362,-5010.4,2047,0.284,-2546.7,1814,0.427,-2463.8,10,0.0,,0.32,-3246.9,-1763.5,18,8,True,False,False,False,True,,False,2,(stress arm)
rand_ASIA_T120_r1_c0.45,rand_ASIA_T120_r1,ok,0.45,3861,0.433,-3880.8,2048,0.368,-1894.9,1813,0.484,-1985.9,10,0.0,,-0.08,-2677.5,-1203.3,18,8,True,False,False,False,True,0.397,False,2,FAIL
rand_ASIA_T120_r1_c0.80,rand_ASIA_T120_r1,ok,0.8,3861,0.339,-5232.2,2048,0.269,-2611.7,1813,0.397,-2620.5,10,0.0,,-0.06,-3590.3,-1641.9,18,8,True,False,False,False,True,,False,2,(stress arm)
rand_ASIA_T120_r2_c0.45,rand_ASIA_T120_r2,ok,0.45,3861,0.454,-3713.8,2050,0.383,-1846.7,1811,0.509,-1867.1,10,0.0,,-0.07,-2535.7,-1178.1,18,8,True,False,False,False,True,0.418,False,2,FAIL
rand_ASIA_T120_r2_c0.80,rand_ASIA_T120_r2,ok,0.8,3861,0.357,-5065.1,2050,0.283,-2564.2,1811,0.418,-2500.9,10,0.0,,-0.04,-3440.1,-1625.0,18,8,True,False,False,False,True,,False,2,(stress arm)
rand_ASIA_T120_r3_c0.45,rand_ASIA_T120_r3,ok,0.45,3861,0.473,-3538.4,2049,0.415,-1700.6,1812,0.517,-1837.8,10,0.0,,0.0,-2450.8,-1087.6,18,8,True,False,False,False,True,0.426,False,2,FAIL
rand_ASIA_T120_r3_c0.80,rand_ASIA_T120_r3,ok,0.8,3861,0.372,-4889.7,2049,0.305,-2417.8,1812,0.426,-2472.0,10,0.0,,0.02,-3360.8,-1529.0,18,8,True,False,False,False,True,,False,2,(stress arm)
rand_ASIA_T120_r4_c0.45,rand_ASIA_T120_r4,ok,0.45,3861,0.425,-3988.4,2041,0.362,-1921.8,1820,0.473,-2066.6,10,0.0,,0.01,-2792.1,-1196.2,18,8,True,False,False,False,True,0.389,False,2,FAIL
rand_ASIA_T120_r4_c0.80,rand_ASIA_T120_r4,ok,0.8,3861,0.334,-5339.7,2041,0.265,-2636.2,1820,0.389,-2703.6,10,0.0,,0.03,-3699.3,-1640.4,18,8,True,False,False,False,True,,False,2,(stress arm)
