level_type,T,cost,split,n_real,real_mean,rand_mean,edge_vs_rand,ci_lo,ci_hi,touch_mean,edge_vs_touch,ci2_lo,ci2_hi
PD,30,0.45,TRAIN,1447,-0.964,-0.933,-0.031,-0.145,0.081,-0.874,-0.09,-0.207,0.027
PD,30,0.45,TEST,1497,-0.978,-1.105,0.126,-0.129,0.404,-0.927,-0.051,-0.301,0.236
PD,30,0.8,TRAIN,1447,-1.314,-1.283,-0.031,-0.145,0.081,-1.224,-0.09,-0.207,0.027
PD,30,0.8,TEST,1497,-1.328,-1.455,0.126,-0.129,0.404,-1.277,-0.051,-0.301,0.236
PD,120,0.45,TRAIN,1592,-0.986,-0.887,-0.099,-0.229,0.031,-0.874,-0.112,-0.241,0.014
PD,120,0.45,TEST,1460,-0.932,-0.9,-0.032,-0.375,0.318,-0.927,-0.005,-0.327,0.349
PD,120,0.8,TRAIN,1592,-1.336,-1.237,-0.099,-0.229,0.031,-1.224,-0.112,-0.241,0.014
PD,120,0.8,TEST,1460,-1.282,-1.25,-0.032,-0.375,0.318,-1.277,-0.005,-0.327,0.349
PD,300,0.45,TRAIN,1564,-1.004,-0.907,-0.097,-0.243,0.059,-0.874,-0.13,-0.277,0.021
PD,300,0.45,TEST,1338,-1.049,-1.006,-0.044,-0.456,0.385,-0.927,-0.123,-0.525,0.281
PD,300,0.8,TRAIN,1564,-1.354,-1.257,-0.097,-0.243,0.059,-1.224,-0.13,-0.277,0.021
PD,300,0.8,TEST,1338,-1.399,-1.356,-0.044,-0.456,0.385,-1.277,-0.123,-0.525,0.281
ASIA,30,0.45,TRAIN,1864,-0.961,-0.895,-0.066,-0.164,0.033,-0.881,-0.08,-0.188,0.025
ASIA,30,0.45,TEST,1800,-0.953,-0.944,-0.009,-0.188,0.17,-0.838,-0.115,-0.292,0.061
ASIA,30,0.8,TRAIN,1864,-1.311,-1.245,-0.066,-0.164,0.033,-1.231,-0.08,-0.188,0.025
ASIA,30,0.8,TEST,1800,-1.303,-1.294,-0.009,-0.188,0.17,-1.188,-0.115,-0.292,0.061
ASIA,120,0.45,TRAIN,2038,-0.932,-0.898,-0.033,-0.149,0.091,-0.881,-0.051,-0.172,0.071
ASIA,120,0.45,TEST,1823,-0.959,-1.057,0.098,-0.117,0.321,-0.838,-0.121,-0.344,0.098
