arm,n_events,n_trades,skipped_open,bad_geom,bad_window,no_bars
touch_PD,6233,4729,1127,377,0,0
sweep_PD_T30,4313,2944,1302,67,0,0
sweepopp_PD_T30,4313,2686,1569,58,0,0
sweep_PD_T120,5158,3052,2056,50,0,0
sweepopp_PD_T120,5158,2694,2423,41,0,0
sweep_PD_T300,5514,2902,2569,43,0,0
sweepopp_PD_T300,5514,2542,2937,35,0,0
touch_ASIA,7699,5898,1293,508,0,0
sweep_ASIA_T30,5263,3664,1533,66,0,0
sweepopp_ASIA_T30,5263,3365,1841,57,0,0
sweep_ASIA_T120,6340,3861,2423,56,0,0
sweepopp_ASIA_T120,6340,3448,2845,47,0,0
sweep_ASIA_T300,6808,3688,3068,52,0,0
sweepopp_ASIA_T300,6808,3247,3518,43,0,0
touch_H1,38380,30581,5607,2192,0,0
sweep_H1_T30,25485,18431,6768,286,0,0
sweepopp_H1_T30,25485,15953,9282,250,0,0
sweep_H1_T120,31323,20241,10862,220,0,0
sweepopp_H1_T120,31323,16886,14254,183,0,0
sweep_H1_T300,33856,19924,13736,196,0,0
sweepopp_H1_T300,33856,16426,17272,158,0,0
touch_LON,6882,5090,1345,447,0,0
sweep_LON_T30,4833,3202,1554,77,0,0
sweepopp_LON_T30,4833,2913,1856,64,0,0
sweep_LON_T120,5785,3362,2359,64,0,0
sweepopp_LON_T120,5785,2987,2747,51,0,0
sweep_LON_T300,6190,3233,2902,55,0,0
sweepopp_LON_T300,6190,2847,3302,41,0,0
