level_type,cost,split,speed,n,pf,pts,mean,wr,risk_p50
PD,0.0,TRAIN,0s,349,0.491,-163.0,-0.467,16.9,0.92
PD,0.0,TRAIN,5-30s,744,0.536,-378.2,-0.508,20.4,1.11
PD,0.0,TRAIN,35-120s,312,0.647,-170.8,-0.547,22.1,1.72
PD,0.0,TRAIN,125-300s,159,0.623,-154.9,-0.974,25.2,2.67
PD,0.0,TEST,0s,341,0.638,-154.1,-0.452,21.1,1.31
PD,0.0,TEST,5-30s,587,0.747,-276.9,-0.472,23.2,1.69
PD,0.0,TEST,35-120s,277,0.744,-241.2,-0.871,24.9,3.23
PD,0.0,TEST,125-300s,133,0.805,-129.8,-0.976,25.6,5.24
PD,0.45,TRAIN,0s,349,0.29,-320.1,-0.917,16.6,0.92
PD,0.45,TRAIN,5-30s,744,0.341,-713.0,-0.958,20.4,1.11
PD,0.45,TRAIN,35-120s,312,0.475,-311.2,-0.997,22.1,1.72
PD,0.45,TRAIN,125-300s,159,0.513,-226.5,-1.424,25.2,2.67
PD,0.45,TEST,0s,341,0.438,-307.5,-0.902,20.5,1.31
PD,0.45,TEST,5-30s,587,0.583,-541.1,-0.922,23.0,1.69
PD,0.45,TEST,35-120s,277,0.647,-365.9,-1.321,24.9,3.23
PD,0.45,TEST,125-300s,133,0.733,-189.7,-1.426,25.6,5.24
PD,0.8,TRAIN,0s,349,0.2,-442.2,-1.267,16.3,0.92
PD,0.8,TRAIN,5-30s,744,0.245,-973.4,-1.308,20.4,1.11
PD,0.8,TRAIN,35-120s,312,0.38,-420.4,-1.347,22.1,1.72
PD,0.8,TRAIN,125-300s,159,0.443,-282.1,-1.774,24.5,2.67
PD,0.8,TEST,0s,341,0.335,-426.9,-1.252,19.9,1.31
PD,0.8,TEST,5-30s,587,0.487,-746.5,-1.272,22.8,1.69
PD,0.8,TEST,35-120s,277,0.583,-462.8,-1.671,24.9,3.23
PD,0.8,TEST,125-300s,133,0.683,-236.2,-1.776,25.6,5.24
ASIA,0.0,TRAIN,0s,377,0.496,-173.7,-0.461,15.9,0.91
ASIA,0.0,TRAIN,5-30s,972,0.525,-479.5,-0.493,20.0,1.04
ASIA,0.0,TRAIN,35-120s,431,0.704,-204.7,-0.475,24.4,1.7
ASIA,0.0,TRAIN,125-300s,227,0.81,-92.2,-0.406,28.2,2.46
ASIA,0.0,TEST,0s,414,0.734,-129.8,-0.314,22.5,1.27
ASIA,0.0,TEST,5-30s,779,0.696,-380.8,-0.489,21.6,1.75
ASIA,0.0,TEST,35-120s,317,0.837,-147.6,-0.466,26.5,2.95
ASIA,0.0,TEST,125-300s,171,0.53,-369.6,-2.161,27.5,4.16
ASIA,0.45,TRAIN,0s,377,0.297,-343.4,-0.911,15.4,0.91
ASIA,0.45,TRAIN,5-30s,972,0.326,-916.9,-0.943,20.0,1.04
ASIA,0.45,TRAIN,35-120s,431,0.524,-398.7,-0.925,24.4,1.7
ASIA,0.45,TRAIN,125-300s,227,0.652,-194.3,-0.856,28.2,2.46
ASIA,0.45,TEST,0s,414,0.5,-316.1,-0.764,22.0,1.27
ASIA,0.45,TEST,5-30s,779,0.521,-731.3,-0.939,21.6,1.75
ASIA,0.45,TEST,35-120s,317,0.712,-290.2,-0.916,26.5,2.95
ASIA,0.45,TEST,125-300s,171,0.469,-446.5,-2.611,27.5,4.16
ASIA,0.8,TRAIN,0s,377,0.208,-475.3,-1.261,15.4,0.91
ASIA,0.8,TRAIN,5-30s,972,0.23,-1257.1,-1.293,19.7,1.04
ASIA,0.8,TRAIN,35-120s,431,0.423,-549.5,-1.275,24.4,1.7
ASIA,0.8,TRAIN,125-300s,227,0.556,-273.8,-1.206,28.2,2.46
ASIA,0.8,TEST,0s,414,0.382,-461.0,-1.114,21.3,1.27
ASIA,0.8,TEST,5-30s,779,0.424,-1004.0,-1.289,21.6,1.75
ASIA,0.8,TEST,35-120s,317,0.632,-401.2,-1.266,26.5,2.95
ASIA,0.8,TEST,125-300s,171,0.428,-506.4,-2.961,27.5,4.16
H1,0.0,TRAIN,0s,1978,0.404,-1036.1,-0.524,14.1,0.86
H1,0.0,TRAIN,5-30s,4911,0.474,-2533.5,-0.516,16.9,0.99
H1,0.0,TRAIN,35-120s,2412,0.669,-1101.1,-0.457,22.3,1.5
H1,0.0,TRAIN,125-300s,1196,0.753,-599.4,-0.501,26.3,2.24
H1,0.0,TEST,0s,2241,0.611,-1000.1,-0.446,19.6,1.22
H1,0.0,TEST,5-30s,4279,0.594,-2703.6,-0.632,20.0,1.55
H1,0.0,TEST,35-120s,1922,0.745,-1263.0,-0.657,26.1,2.76
H1,0.0,TEST,125-300s,985,0.688,-1304.8,-1.325,25.9,4.37
H1,0.45,TRAIN,0s,1978,0.23,-1926.2,-0.974,14.0,0.86
H1,0.45,TRAIN,5-30s,4911,0.287,-4743.4,-0.966,16.9,0.99
H1,0.45,TRAIN,35-120s,2412,0.476,-2186.5,-0.907,22.3,1.5
H1,0.45,TRAIN,125-300s,1196,0.598,-1137.6,-0.951,26.3,2.24
H1,0.45,TEST,0s,2241,0.406,-2008.5,-0.896,19.5,1.22
H1,0.45,TEST,5-30s,4279,0.436,-4629.2,-1.082,19.9,1.55
H1,0.45,TEST,35-120s,1922,0.62,-2127.9,-1.107,26.1,2.76
H1,0.45,TEST,125-300s,985,0.612,-1748.0,-1.775,25.9,4.37
H1,0.8,TRAIN,0s,1978,0.155,-2618.5,-1.324,13.8,0.86
H1,0.8,TRAIN,5-30s,4911,0.201,-6462.3,-1.316,16.7,0.99
H1,0.8,TRAIN,35-120s,2412,0.372,-3030.7,-1.257,22.3,1.5
H1,0.8,TRAIN,125-300s,1196,0.504,-1556.2,-1.301,26.1,2.24
H1,0.8,TEST,0s,2241,0.305,-2792.9,-1.246,19.0,1.22
H1,0.8,TEST,5-30s,4279,0.349,-6126.8,-1.432,19.9,1.55
H1,0.8,TEST,35-120s,1922,0.54,-2800.6,-1.457,26.1,2.76
H1,0.8,TEST,125-300s,985,0.56,-2092.8,-2.125,25.9,4.37
LON,0.0,TRAIN,0s,362,0.608,-132.8,-0.367,19.1,0.94
LON,0.0,TRAIN,5-30s,810,0.547,-404.2,-0.499,18.9,1.08
LON,0.0,TRAIN,35-120s,355,0.53,-292.6,-0.824,19.2,1.88
LON,0.0,TRAIN,125-300s,180,0.922,-32.2,-0.179,32.2,2.87
LON,0.0,TEST,0s,399,0.596,-199.8,-0.501,17.3,1.37
LON,0.0,TEST,5-30s,653,0.781,-249.9,-0.383,26.8,1.82
LON,0.0,TEST,35-120s,308,0.769,-213.1,-0.692,25.3,3.44
LON,0.0,TEST,125-300s,166,0.71,-234.8,-1.414,29.5,5.68
LON,0.45,TRAIN,0s,362,0.372,-295.7,-0.817,19.1,0.94
LON,0.45,TRAIN,5-30s,810,0.353,-768.7,-0.949,18.8,1.08
LON,0.45,TRAIN,35-120s,355,0.398,-452.4,-1.274,19.2,1.88
LON,0.45,TRAIN,125-300s,180,0.758,-113.2,-0.629,32.2,2.87
LON,0.45,TEST,0s,399,0.41,-379.4,-0.951,17.3,1.37
LON,0.45,TEST,5-30s,653,0.6,-543.8,-0.833,26.5,1.82
LON,0.45,TEST,35-120s,308,0.657,-351.7,-1.142,25.3,3.44
LON,0.45,TEST,125-300s,166,0.642,-309.5,-1.864,29.5,5.68
LON,0.8,TRAIN,0s,362,0.263,-422.4,-1.167,18.5,0.94
LON,0.8,TRAIN,5-30s,810,0.258,-1052.2,-1.299,18.6,1.08
LON,0.8,TRAIN,35-120s,355,0.324,-576.6,-1.624,19.2,1.88
LON,0.8,TRAIN,125-300s,180,0.655,-176.2,-0.979,32.2,2.87
LON,0.8,TEST,0s,399,0.316,-519.0,-1.301,17.3,1.37
LON,0.8,TEST,5-30s,653,0.494,-772.3,-1.183,26.3,1.82
LON,0.8,TEST,35-120s,308,0.585,-459.5,-1.492,25.3,3.44
LON,0.8,TEST,125-300s,166,0.594,-367.6,-2.214,29.5,5.68
