level_type,T,cost,n_events,real_train_n,real_train_pf,real_train_pts,real_train_wr,real_test_n,real_test_pf,real_test_pts,real_test_wr,rand_train_pf_mean,rand_train_pf_min,rand_train_pf_max,rand_test_pf_mean,rand_test_pf_min,rand_test_pf_max,rand_test_pts_mean,touch_train_n,touch_train_pf,touch_test_n,touch_test_pf,touch_test_pts,opp_train_n,opp_train_pf,opp_test_n,opp_test_pf,opp_test_pts
PD,30,0.45,4313,1447,0.317,-1395.1,18.7,1497,0.504,-1464.7,21.2,0.331,0.304,0.345,0.445,0.418,0.469,-1645.2,2391,0.189,2338,0.353,-2167.2,1352,0.366,1334,0.495,-1663.6
PD,30,0.8,4313,1447,0.226,-1901.5,18.5,1497,0.409,-1988.6,20.9,0.237,0.216,0.249,0.359,0.337,0.379,-2166.5,2391,0.117,2338,0.261,-2985.5,1352,0.297,1334,0.431,-2130.5
PD,120,0.45,5158,1592,0.355,-1570.5,19.3,1460,0.601,-1360.6,22.7,0.4,0.374,0.437,0.601,0.53,0.641,-1307.4,2391,0.189,2338,0.353,-2167.2,1460,0.418,1234,0.547,-1684.5
PD,120,0.8,5158,1592,0.263,-2127.7,19.2,1460,0.509,-1871.6,22.4,0.297,0.277,0.329,0.505,0.444,0.538,-1815.7,2391,0.117,2338,0.261,-2985.5,1460,0.344,1234,0.487,-2116.4
PD,300,0.45,5514,1564,0.394,-1570.7,20.4,1338,0.609,-1404.2,23.0,0.431,0.397,0.463,0.61,0.568,0.73,-1339.7,2391,0.189,2338,0.353,-2167.2,1421,0.462,1121,0.562,-1688.7
PD,300,0.8,5514,1564,0.3,-2118.1,20.3,1338,0.526,-1872.5,22.8,0.33,0.302,0.355,0.523,0.487,0.629,-1805.8,2391,0.117,2338,0.261,-2985.5,1421,0.386,1121,0.508,-2081.1
ASIA,30,0.45,5263,1864,0.304,-1791.8,18.1,1800,0.475,-1714.9,21.7,0.332,0.297,0.379,0.475,0.443,0.539,-1700.9,3138,0.172,2760,0.343,-2313.2,1725,0.401,1640,0.55,-1645.3
ASIA,30,0.8,5263,1864,0.214,-2444.2,17.9,1800,0.376,-2344.9,21.4,0.235,0.209,0.269,0.376,0.349,0.427,-2331.8,3138,0.105,2760,0.242,-3279.2,1725,0.322,1640,0.472,-2219.3
ASIA,120,0.45,6340,2038,0.378,-1898.7,19.8,1823,0.543,-1747.8,22.7,0.383,0.362,0.415,0.501,0.473,0.52,-1917.3,3138,0.172,2760,0.343,-2313.2,1838,0.458,1610,0.63,-1542.8
ASIA,120,0.8,6340,2038,0.28,-2612.0,19.6,1823,0.447,-2385.8,22.5,0.281,0.265,0.305,0.411,0.389,0.427,-2552.2,3138,0.105,2760,0.242,-3279.2,1838,0.374,1610,0.551,-2106.3
