arm,bars15,mid_test,mid_stress,mid_train,n,q_train_pf,q_train_pts,q_test_pf,q_test_pts,test_pos_m,max_m_share
s93_h12-14_tpr1.0,FAIL,0.906,0.84,0.976,695,0.821,-142.0,0.89,-116.0,0.3,
s93_h12-14_tpr1.5,FAIL,1.027,0.967,1.03,689,0.875,-120.0,0.966,-42.0,0.4,
s93_h12-14_tpr2.0,FAIL,1.001,0.947,0.971,675,0.891,-114.0,0.926,-98.0,0.1,
s93_h13-14_tpr1.0,FAIL,1.013,0.945,1.006,532,0.85,-94.0,1.009,7.0,0.4,13.67
s93_h13-14_tpr1.5,NEAR,1.158,1.095,1.079,528,0.936,-48.0,1.115,105.0,0.5,1.07
s93_h13-14_tpr2.0,NEAR,1.112,1.056,1.023,517,0.956,-36.0,1.063,62.0,0.3,1.74
s93_hpre0901_tpr1.0,FAIL,0.812,0.744,0.832,1263,0.698,-406.0,0.745,-503.0,0.1,
s93_hpre0901_tpr1.5,FAIL,0.86,0.803,0.881,1244,0.767,-370.0,0.794,-466.0,0.2,
s93_hpre0901_tpr2.0,FAIL,0.844,0.794,0.836,1220,0.768,-400.0,0.775,-547.0,0.1,
s94_both_sd2.0,FAIL,0.812,0.771,0.746,1305,0.718,-552.0,0.812,-656.0,0.2,
s94_both_sd2.5,FAIL,0.931,0.887,0.814,1306,0.781,-446.0,0.947,-189.0,0.5,
s94_both_sd3.0,FAIL,0.965,0.921,0.844,1306,0.819,-381.0,0.929,-266.0,0.4,
s94_long_sd2.0,FAIL,0.845,0.808,0.856,726,0.828,-209.0,0.851,-315.0,0.5,
s94_long_sd2.5,FAIL,1.013,0.972,0.916,727,0.878,-156.0,1.029,62.0,0.5,3.07
s94_long_sd3.0,FAIL,1.063,1.021,0.964,727,0.922,-103.0,1.026,58.0,0.5,3.57
