strategy,side,entry_time,entry_px,sl,tp,exit_time,exit_px,outcome,pts,risk,r,hour,reason
s100_m3_combo,SELL,2025-01-06 06:34:00+00:00,2631.24,2632.75,2627.47,2025-01-06 07:06:00+00:00,2632.75,SL,-1.96,1.51,-1.298,6,S100_OB_SHORT
s100_m3_combo,SELL,2025-01-06 14:22:00+00:00,2620.47,2627.3,2603.39,2025-01-06 14:31:00+00:00,2627.3,SL,-7.28,6.83,-1.0659,14,S100_FVG_SHORT
s100_m3_combo,SELL,2025-01-06 15:19:00+00:00,2630.81,2632.35,2626.96,2025-01-06 15:22:00+00:00,2632.35,SL,-1.99,1.54,-1.2922,15,S100_OB_SHORT
s100_m3_combo,BUY,2025-01-07 01:44:00+00:00,2638.85,2637.3,2642.72,2025-01-07 02:25:00+00:00,2637.3,SL,-2.0,1.55,-1.2903,1,S100_RSI3_MOMO_LONG
s100_m3_combo,BUY,2025-01-07 05:27:00+00:00,2642.48,2640.9,2646.44,2025-01-07 06:08:00+00:00,2646.44,TP,3.51,1.58,2.2215,5,S100_FVG_LONG
s100_m3_combo,BUY,2025-01-07 08:06:00+00:00,2642.2,2640.51,2646.43,2025-01-07 09:08:00+00:00,2640.51,SL,-2.14,1.69,-1.2663,8,S100_FVG_LONG
s100_m3_combo,BUY,2025-01-07 13:17:00+00:00,2655.7,2653.8,2660.45,2025-01-07 13:20:00+00:00,2660.45,TP,4.3,1.9,2.2632,13,S100_RSI3_MOMO_LONG
s100_m3_combo,BUY,2025-01-07 13:27:00+00:00,2658.53,2655.97,2664.94,2025-01-07 14:17:00+00:00,2655.97,SL,-3.01,2.56,-1.1758,13,S100_FVG_LONG
s100_m3_combo,BUY,2025-01-07 14:35:00+00:00,2662.41,2660.2,2667.92,2025-01-07 14:45:00+00:00,2660.2,SL,-2.66,2.21,-1.2036,14,S100_RSI3_MOMO_LONG
s100_m3_combo,BUY,2025-01-07 15:38:00+00:00,2645.85,2642.79,2653.51,2025-01-07 16:19:00+00:00,2653.51,TP,7.21,3.06,2.3562,15,S100_OB_LONG
s100_m3_combo,BUY,2025-01-08 13:59:00+00:00,2660.22,2657.9,2666.04,2025-01-08 14:36:00+00:00,2666.04,TP,5.37,2.32,2.3147,13,S100_RSI3_MOMO_LONG
