strategy,side,entry_time,entry_px,sl,tp,exit_time,exit_px,outcome,pts,risk,r,hour,reason
s93_fvg_scalp,SELL,2025-01-06 08:20:00+00:00,2628.87,2630.54,2626.36,2025-01-06 08:30:00+00:00,2630.54,SL,-2.12,1.67,-1.2695,8,S93_FVG_SCALP_SHORT
s93_fvg_scalp,SELL,2025-01-06 14:25:00+00:00,2623.945,2627.35,2618.84,2025-01-06 14:31:00+00:00,2627.35,SL,-3.855,3.405,-1.1322,14,S93_FVG_SCALP_SHORT
s93_fvg_scalp,BUY,2025-01-07 13:35:00+00:00,2657.76,2654.64,2662.44,2025-01-07 13:47:00+00:00,2662.44,TP,4.23,3.12,1.3558,13,S93_FVG_SCALP_LONG
s93_fvg_scalp,SELL,2025-01-07 14:10:00+00:00,2660.495,2662.26,2657.85,2025-01-07 14:15:00+00:00,2657.85,TP,2.195,1.765,1.2436,14,S93_FVG_SCALP_SHORT
s93_fvg_scalp,BUY,2025-01-08 13:20:00+00:00,2655.145,2651.9,2660.01,2025-01-08 13:57:00+00:00,2660.01,TP,4.415,3.245,1.3606,13,S93_FVG_SCALP_LONG
s93_fvg_scalp,BUY,2025-01-08 14:16:00+00:00,2661.58,2659.7,2664.4,2025-01-08 14:31:00+00:00,2664.4,TP,2.37,1.88,1.2606,14,S93_FVG_SCALP_LONG
s93_fvg_scalp,BUY,2025-01-08 14:44:00+00:00,2664.485,2662.47,2667.51,2025-01-08 14:47:00+00:00,2662.47,SL,-2.465,2.015,-1.2233,14,S93_FVG_SCALP_LONG
s93_fvg_scalp,SELL,2025-01-09 14:07:00+00:00,2673.0,2674.84,2670.24,2025-01-09 14:23:00+00:00,2670.24,TP,2.31,1.84,1.2554,14,S93_FVG_SCALP_SHORT
s93_fvg_scalp,SELL,2025-01-10 13:41:00+00:00,2673.47,2677.26,2667.78,2025-01-10 13:45:00+00:00,2677.26,SL,-4.24,3.79,-1.1187,13,S93_FVG_SCALP_SHORT
s93_fvg_scalp,SELL,2025-01-13 07:49:00+00:00,2686.28,2688.14,2683.49,2025-01-13 08:03:00+00:00,2688.14,SL,-2.31,1.86,-1.2419,7,S93_FVG_SCALP_SHORT
s93_fvg_scalp,SELL,2025-01-14 09:45:00+00:00,2666.955,2668.69,2664.35,2025-01-14 09:51:00+00:00,2668.69,SL,-2.185,1.735,-1.2594,9,S93_FVG_SCALP_SHORT
s93_fvg_scalp,BUY,2025-01-15 14:05:00+00:00,2693.335,2689.79,2698.65,2025-01-15 14:09:00+00:00,2689.79,SL,-3.995,3.545,-1.1269,14,S93_FVG_SCALP_LONG
s93_fvg_scalp,SELL,2025-01-15 14:40:00+00:00,2683.72,2688.93,2675.9,2025-01-15 16:40:00+00:00,2684.49,TIME,-1.22,5.21,-0.2342,14,S93_FVG_SCALP_SHORT
s93_fvg_scalp,SELL,2025-01-17 12:22:00+00:00,2708.25,2710.03,2705.58,2025-01-17 12:26:00+00:00,2710.03,SL,-2.23,1.78,-1.2528,12,S93_FVG_SCALP_SHORT
s93_fvg_scalp,BUY,2025-01-21 07:45:00+00:00,2730.7,2728.27,2734.34,2025-01-21 08:00:00+00:00,2728.27,SL,-2.88,2.43,-1.1852,7,S93_FVG_SCALP_LONG
s93_fvg_scalp,BUY,2025-01-21 14:51:00+00:00,2734.11,2732.41,2736.66,2025-01-21 14:56:00+00:00,2736.66,TP,2.1,1.7,1.2353,14,S93_FVG_SCALP_LONG
s93_fvg_scalp,BUY,2025-01-22 07:22:00+00:00,2749.805,2746.98,2754.04,2025-01-22 07:51:00+00:00,2754.04,TP,3.785,2.825,1.3398,7,S93_FVG_SCALP_LONG
s93_fvg_scalp,SELL,2025-01-22 08:09:00+00:00,2749.895,2751.69,2747.2,2025-01-22 08:14:00+00:00,2751.69,SL,-2.245,1.795,-1.2507,8,S93_FVG_SCALP_SHORT
s93_fvg_scalp,BUY,2025-01-22 09:50:00+00:00,2758.955,2757.15,2761.66,2025-01-22 10:10:00+00:00,2761.66,TP,2.255,1.805,1.2493,9,S93_FVG_SCALP_LONG
s93_fvg_scalp,SELL,2025-01-22 14:40:00+00:00,2752.7,2755.39,2748.66,2025-01-22 14:46:00+00:00,2755.39,SL,-3.14,2.69,-1.1673,14,S93_FVG_SCALP_SHORT
