strategy,side,entry_time,entry_px,sl,tp,exit_time,exit_px,outcome,pts,risk,r,hour,reason
s94_sweep_reversal,SELL,2025-01-10 14:10:00+00:00,2683.13,2686.8,2674.28,2025-01-10 14:18:00+00:00,2686.8,SL,-4.12,3.67,-1.1226,14,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,BUY,2025-01-10 13:40:00+00:00,2671.65,2663.32,2690.55,2025-01-10 14:29:00+00:00,2690.55,TP,18.45,8.33,2.2149,13,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,SELL,2025-01-14 15:20:00+00:00,2671.69,2674.78,2659.6,2025-01-14 19:35:00+00:00,2674.78,SL,-3.54,3.09,-1.1456,15,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,SELL,2025-01-15 13:46:00+00:00,2689.02,2693.91,2674.51,2025-01-15 13:58:00+00:00,2693.91,SL,-5.34,4.89,-1.092,13,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,BUY,2025-01-15 14:46:00+00:00,2680.075,2677.74,2689.49,2025-01-15 15:04:00+00:00,2677.74,SL,-2.785,2.335,-1.1927,14,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,SELL,2025-01-16 13:40:00+00:00,2711.22,2715.01,2704.39,2025-01-16 13:44:00+00:00,2715.01,SL,-4.24,3.79,-1.1187,13,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,SELL,2025-01-17 15:23:00+00:00,2713.06,2715.17,2707.96,2025-01-17 15:56:00+00:00,2715.17,SL,-2.56,2.11,-1.2133,15,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,BUY,2025-01-20 16:35:00+00:00,2705.3,2703.11,2711.89,2025-01-21 00:54:00+00:00,2703.11,SL,-2.64,2.19,-1.2055,16,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-01-20 13:41:00+00:00,2704.84,2701.46,2719.47,2025-01-21 02:03:00+00:00,2719.47,TP,14.18,3.38,4.1953,13,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,SELL,2025-01-22 03:55:00+00:00,2749.755,2751.43,2746.55,2025-01-22 04:17:00+00:00,2751.43,SL,-2.125,1.675,-1.2687,3,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,BUY,2025-01-23 13:34:00+00:00,2740.05,2737.11,2748.91,2025-01-23 13:38:00+00:00,2737.11,SL,-3.39,2.94,-1.1531,13,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,SELL,2025-01-23 16:55:00+00:00,2754.545,2757.87,2747.08,2025-01-23 17:41:00+00:00,2757.87,SL,-3.775,3.325,-1.1353,16,S94_SWEEP_REVERSAL_SHORT
