strategy,side,entry_time,entry_px,sl,tp,exit_time,exit_px,outcome,pts,risk,r,hour,reason
s94_sweep_reversal,BUY,2025-12-01 14:21:00+00:00,4244.225,4237.9,4260.19,2025-12-01 14:35:00+00:00,4237.9,SL,-6.775,6.325,-1.0711,14,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,SELL,2025-12-01 18:50:00+00:00,4242.66,4245.03,4232.04,2025-12-01 19:51:00+00:00,4232.04,TP,10.17,2.37,4.2911,18,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,BUY,2025-12-01 23:56:00+00:00,4229.315,4223.9,4240.92,2025-12-02 00:10:00+00:00,4223.9,SL,-5.865,5.415,-1.0831,23,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-02 09:16:00+00:00,4207.24,4204.71,4218.79,2025-12-02 09:17:00+00:00,4204.71,SL,-2.98,2.53,-1.1779,9,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-03 09:07:00+00:00,4202.38,4200.19,4210.87,2025-12-03 09:08:00+00:00,4200.19,SL,-2.64,2.19,-1.2055,9,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-04 02:21:00+00:00,4202.9,4198.62,4219.61,2025-12-04 03:02:00+00:00,4198.62,SL,-4.73,4.28,-1.1051,2,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-04 03:10:00+00:00,4195.195,4186.65,4215.73,2025-12-04 05:38:00+00:00,4186.65,SL,-8.995,8.545,-1.0527,3,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-04 12:21:00+00:00,4196.645,4193.11,4204.79,2025-12-04 12:29:00+00:00,4193.11,SL,-3.985,3.535,-1.1273,12,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,SELL,2025-12-04 11:15:00+00:00,4202.83,4207.01,4190.54,2025-12-04 12:34:00+00:00,4190.54,TP,11.84,4.18,2.8325,11,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,SELL,2025-12-04 16:16:00+00:00,4213.61,4215.61,4197.83,2025-12-04 16:17:00+00:00,4215.61,SL,-2.45,2.0,-1.225,16,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,SELL,2025-12-04 17:50:00+00:00,4217.08,4219.87,4200.28,2025-12-04 19:12:00+00:00,4200.28,TP,16.35,2.79,5.8602,17,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,BUY,2025-12-04 23:45:00+00:00,4205.485,4203.86,4213.14,2025-12-05 00:30:00+00:00,4203.86,SL,-2.075,1.625,-1.2769,23,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,SELL,2025-12-05 12:16:00+00:00,4227.545,4229.91,4222.19,2025-12-05 13:00:00+00:00,4229.91,SL,-2.815,2.365,-1.1903,12,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,SELL,2025-12-05 13:25:00+00:00,4230.9,4233.63,4215.09,2025-12-05 13:28:00+00:00,4233.63,SL,-3.18,2.73,-1.1648,13,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,BUY,2025-12-05 19:17:00+00:00,4206.55,4203.38,4218.49,2025-12-05 19:46:00+00:00,4203.38,SL,-3.62,3.17,-1.142,19,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-05 21:30:00+00:00,4196.77,4191.58,4209.06,2025-12-07 23:35:00+00:00,4201.9,TIME,4.68,5.19,0.9017,21,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-08 09:08:00+00:00,4204.77,4203.02,4218.21,2025-12-08 10:31:00+00:00,4203.02,SL,-2.2,1.75,-1.2571,9,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-08 10:47:00+00:00,4204.305,4200.78,4212.95,2025-12-08 11:05:00+00:00,4200.78,SL,-3.975,3.525,-1.1277,10,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-08 14:00:00+00:00,4199.71,4197.71,4212.98,2025-12-08 14:01:00+00:00,4197.71,SL,-2.45,2.0,-1.225,14,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,SELL,2025-12-10 01:29:00+00:00,4216.695,4218.29,4210.11,2025-12-10 02:43:00+00:00,4218.29,SL,-2.045,1.595,-1.2821,1,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,BUY,2025-12-10 05:25:00+00:00,4203.485,4201.52,4210.21,2025-12-10 05:38:00+00:00,4210.21,TP,6.275,1.965,3.1934,5,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-10 14:40:00+00:00,4193.22,4191.23,4208.3,2025-12-10 15:16:00+00:00,4191.23,SL,-2.44,1.99,-1.2261,14,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,SELL,2025-12-10 19:15:00+00:00,4214.66,4220.38,4187.37,2025-12-10 19:41:00+00:00,4187.37,TP,26.84,5.72,4.6923,19,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,BUY,2025-12-11 02:58:00+00:00,4224.255,4219.97,4234.06,2025-12-11 03:05:00+00:00,4219.97,SL,-4.735,4.285,-1.105,2,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,SELL,2025-12-11 09:55:00+00:00,4219.65,4221.81,4213.91,2025-12-11 10:03:00+00:00,4221.81,SL,-2.61,2.16,-1.2083,9,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,SELL,2025-12-11 16:19:00+00:00,4259.34,4261.72,4250.76,2025-12-11 16:43:00+00:00,4261.72,SL,-2.83,2.38,-1.1891,16,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,BUY,2025-12-12 16:19:00+00:00,4281.38,4272.84,4319.72,2025-12-12 16:21:00+00:00,4272.84,SL,-8.99,8.54,-1.0527,16,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,SELL,2025-12-15 09:12:00+00:00,4347.48,4349.18,4340.07,2025-12-15 09:13:00+00:00,4349.18,SL,-2.15,1.7,-1.2647,9,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,BUY,2025-12-15 14:48:00+00:00,4323.1,4320.47,4332.27,2025-12-15 14:53:00+00:00,4320.47,SL,-3.08,2.63,-1.1711,14,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-15 15:00:00+00:00,4319.32,4317.33,4344.62,2025-12-15 15:01:00+00:00,4317.33,SL,-2.44,1.99,-1.2261,15,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-16 02:51:00+00:00,4303.04,4298.99,4318.02,2025-12-16 02:53:00+00:00,4298.99,SL,-4.5,4.05,-1.1111,2,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,SELL,2025-12-16 14:11:00+00:00,4318.035,4320.43,4302.65,2025-12-16 14:14:00+00:00,4320.43,SL,-2.845,2.395,-1.1879,14,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,SELL,2025-12-16 14:30:00+00:00,4327.935,4330.84,4320.91,2025-12-16 14:33:00+00:00,4330.84,SL,-3.355,2.905,-1.1549,14,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,SELL,2025-12-16 20:06:00+00:00,4313.475,4316.16,4303.16,2025-12-16 20:53:00+00:00,4303.16,TP,9.865,2.685,3.6741,20,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,SELL,2025-12-17 05:35:00+00:00,4335.185,4338.25,4327.22,2025-12-17 05:38:00+00:00,4338.25,SL,-3.515,3.065,-1.1468,5,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,BUY,2025-12-17 10:37:00+00:00,4311.145,4308.17,4327.03,2025-12-17 10:38:00+00:00,4308.17,SL,-3.425,2.975,-1.1513,10,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,SELL,2025-12-17 13:15:00+00:00,4323.45,4328.65,4313.14,2025-12-17 13:16:00+00:00,4328.65,SL,-5.65,5.2,-1.0865,13,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,SELL,2025-12-17 14:54:00+00:00,4342.58,4346.44,4325.8,2025-12-17 15:31:00+00:00,4346.44,SL,-4.31,3.86,-1.1166,14,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,SELL,2025-12-17 18:04:00+00:00,4346.09,4349.6,4337.53,2025-12-17 18:38:00+00:00,4337.53,TP,8.11,3.51,2.3105,18,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,BUY,2025-12-18 08:13:00+00:00,4328.69,4324.59,4340.22,2025-12-18 08:55:00+00:00,4324.59,SL,-4.55,4.1,-1.1098,8,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-18 09:26:00+00:00,4324.02,4321.58,4333.88,2025-12-18 09:42:00+00:00,4321.58,SL,-2.89,2.44,-1.1844,9,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,SELL,2025-12-18 14:01:00+00:00,4337.785,4343.73,4323.68,2025-12-18 14:41:00+00:00,4323.68,TP,13.655,5.945,2.2969,14,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,BUY,2025-12-19 01:22:00+00:00,4322.755,4320.51,4334.44,2025-12-19 01:23:00+00:00,4320.51,SL,-2.695,2.245,-1.2004,1,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,SELL,2025-12-19 10:06:00+00:00,4330.975,4333.94,4320.3,2025-12-19 13:11:00+00:00,4333.94,SL,-3.415,2.965,-1.1518,10,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,SELL,2025-12-19 13:20:00+00:00,4333.67,4335.37,4324.03,2025-12-19 13:31:00+00:00,4335.37,SL,-2.15,1.7,-1.2647,13,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,SELL,2025-12-19 15:00:00+00:00,4335.705,4338.15,4325.1,2025-12-19 15:04:00+00:00,4338.15,SL,-2.895,2.445,-1.184,15,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,BUY,2025-12-22 19:06:00+00:00,4431.995,4429.19,4437.26,2025-12-22 19:15:00+00:00,4429.19,SL,-3.255,2.805,-1.1604,19,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-23 14:00:00+00:00,4478.225,4473.04,4503.89,2025-12-23 14:03:00+00:00,4473.04,SL,-5.635,5.185,-1.0868,14,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-23 14:15:00+00:00,4469.5,4454.88,4487.6,2025-12-23 14:31:00+00:00,4454.88,SL,-15.07,14.62,-1.0308,14,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,SELL,2025-12-23 18:50:00+00:00,4479.92,4481.63,4467.16,2025-12-23 18:57:00+00:00,4481.63,SL,-2.16,1.71,-1.2632,18,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,SELL,2025-12-26 05:42:00+00:00,4511.855,4515.29,4499.54,2025-12-26 06:21:00+00:00,4515.29,SL,-3.885,3.435,-1.131,5,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,SELL,2025-12-26 10:30:00+00:00,4520.7,4524.06,4510.41,2025-12-26 11:04:00+00:00,4510.41,TP,9.84,3.36,2.9286,10,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,BUY,2025-12-26 11:27:00+00:00,4507.435,4502.99,4519.99,2025-12-26 11:49:00+00:00,4502.99,SL,-4.895,4.445,-1.1012,11,S94_SWEEP_REVERSAL_LONG
