strategy,side,entry_time,entry_px,sl,tp,exit_time,exit_px,outcome,pts,risk,r,hour,reason
s94_sweep_reversal,BUY,2025-12-01 14:21:00+00:00,4244.225,4237.04,4260.19,2025-12-01 14:35:00+00:00,4237.04,SL,-7.635,7.185,-1.0626,14,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,SELL,2025-12-01 18:50:00+00:00,4242.66,4245.35,4232.04,2025-12-01 19:51:00+00:00,4232.04,TP,10.17,2.69,3.7807,18,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,BUY,2025-12-01 23:56:00+00:00,4229.315,4223.16,4240.92,2025-12-02 00:20:00+00:00,4223.16,SL,-6.605,6.155,-1.0731,23,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-02 09:16:00+00:00,4207.24,4204.36,4218.79,2025-12-02 09:17:00+00:00,4204.36,SL,-3.33,2.88,-1.1562,9,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-03 05:55:00+00:00,4204.665,4203.09,4215.09,2025-12-03 07:24:00+00:00,4203.09,SL,-2.025,1.575,-1.2857,5,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-03 09:07:00+00:00,4202.38,4199.89,4210.87,2025-12-03 09:08:00+00:00,4199.89,SL,-2.94,2.49,-1.1807,9,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-04 02:21:00+00:00,4202.9,4198.04,4219.61,2025-12-04 03:02:00+00:00,4198.04,SL,-5.31,4.86,-1.0926,2,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-04 03:10:00+00:00,4195.195,4185.49,4215.73,2025-12-04 05:38:00+00:00,4185.49,SL,-10.155,9.705,-1.0464,3,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-04 12:21:00+00:00,4196.645,4192.63,4204.79,2025-12-04 12:30:00+00:00,4192.63,SL,-4.465,4.015,-1.1121,12,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,SELL,2025-12-04 11:15:00+00:00,4202.83,4207.58,4190.54,2025-12-04 12:34:00+00:00,4190.54,TP,11.84,4.75,2.4926,11,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,SELL,2025-12-04 16:16:00+00:00,4213.61,4215.89,4197.83,2025-12-04 16:17:00+00:00,4215.89,SL,-2.73,2.28,-1.1974,16,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,SELL,2025-12-04 17:50:00+00:00,4217.08,4220.26,4200.28,2025-12-04 19:12:00+00:00,4200.28,TP,16.35,3.18,5.1415,17,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,BUY,2025-12-04 23:45:00+00:00,4205.485,4203.64,4213.14,2025-12-05 00:30:00+00:00,4203.64,SL,-2.295,1.845,-1.2439,23,S94_SWEEP_REVERSAL_LONG
