strategy,side,entry_time,entry_px,sl,tp,exit_time,exit_px,outcome,pts,risk,r,hour,reason
s99_mss_fvg,SELL,2025-01-06 08:20:00+00:00,2628.87,2630.54,2626.36,2025-01-06 08:30:00+00:00,2630.54,SL,-2.12,1.67,-1.2695,8,S99_MSS_FVG_SHORT
s99_mss_fvg,SELL,2025-01-06 13:50:00+00:00,2625.86,2627.89,2622.82,2025-01-06 13:56:00+00:00,2622.82,TP,2.59,2.03,1.2759,13,S99_MSS_FVG_SHORT
s99_mss_fvg,BUY,2025-01-06 15:01:00+00:00,2630.855,2629.27,2633.23,2025-01-06 15:05:00+00:00,2633.23,TP,1.925,1.585,1.2145,15,S99_MSS_FVG_LONG
s99_mss_fvg,SELL,2025-01-07 15:13:00+00:00,2647.325,2658.22,2630.98,2025-01-07 23:13:00+00:00,2649.175,TIME,-2.3,10.895,-0.2111,15,S99_MSS_FVG_SHORT
s99_mss_fvg,BUY,2025-01-08 14:16:00+00:00,2661.58,2659.7,2664.4,2025-01-08 14:31:00+00:00,2664.4,TP,2.37,1.88,1.2606,14,S99_MSS_FVG_LONG
s99_mss_fvg,BUY,2025-01-08 14:44:00+00:00,2664.485,2662.47,2667.51,2025-01-08 14:47:00+00:00,2662.47,SL,-2.465,2.015,-1.2233,14,S99_MSS_FVG_LONG
s99_mss_fvg,SELL,2025-01-10 13:41:00+00:00,2673.47,2677.26,2667.78,2025-01-10 13:45:00+00:00,2677.26,SL,-4.24,3.79,-1.1187,13,S99_MSS_FVG_SHORT
s99_mss_fvg,SELL,2025-01-13 07:49:00+00:00,2686.28,2688.14,2683.49,2025-01-13 08:03:00+00:00,2688.14,SL,-2.31,1.86,-1.2419,7,S99_MSS_FVG_SHORT
s99_mss_fvg,SELL,2025-01-13 10:37:00+00:00,2681.385,2685.2,2675.66,2025-01-13 11:59:00+00:00,2675.66,TP,5.275,3.815,1.3827,10,S99_MSS_FVG_SHORT
s99_mss_fvg,BUY,2025-01-14 15:10:00+00:00,2668.46,2665.48,2672.93,2025-01-14 16:14:00+00:00,2672.93,TP,4.02,2.98,1.349,15,S99_MSS_FVG_LONG
s99_mss_fvg,SELL,2025-01-16 06:22:00+00:00,2692.055,2694.11,2688.97,2025-01-16 06:50:00+00:00,2694.11,SL,-2.505,2.055,-1.219,6,S99_MSS_FVG_SHORT
s99_mss_fvg,BUY,2025-01-16 08:26:00+00:00,2701.8,2699.97,2704.55,2025-01-16 08:31:00+00:00,2699.97,SL,-2.28,1.83,-1.2459,8,S99_MSS_FVG_LONG
s99_mss_fvg,SELL,2025-01-20 15:12:00+00:00,2707.99,2709.81,2705.26,2025-01-20 15:18:00+00:00,2709.81,SL,-2.27,1.82,-1.2473,15,S99_MSS_FVG_SHORT
s99_mss_fvg,BUY,2025-01-21 14:51:00+00:00,2734.11,2732.41,2736.66,2025-01-21 14:56:00+00:00,2736.66,TP,2.1,1.7,1.2353,14,S99_MSS_FVG_LONG
s99_mss_fvg,BUY,2025-01-22 07:22:00+00:00,2749.805,2746.98,2754.04,2025-01-22 07:51:00+00:00,2754.04,TP,3.785,2.825,1.3398,7,S99_MSS_FVG_LONG
s99_mss_fvg,SELL,2025-01-22 08:09:00+00:00,2749.895,2751.69,2747.2,2025-01-22 08:14:00+00:00,2751.69,SL,-2.245,1.795,-1.2507,8,S99_MSS_FVG_SHORT
s99_mss_fvg,BUY,2025-01-27 09:18:00+00:00,2762.845,2760.61,2766.2,2025-01-27 09:19:00+00:00,2760.61,SL,-2.685,2.235,-1.2013,9,S99_MSS_FVG_LONG
s99_mss_fvg,SELL,2025-01-27 13:48:00+00:00,2755.39,2757.02,2752.94,2025-01-27 13:51:00+00:00,2757.02,SL,-2.08,1.63,-1.2761,13,S99_MSS_FVG_SHORT
s99_mss_fvg,SELL,2025-01-27 15:10:00+00:00,2745.495,2751.01,2737.22,2025-01-27 16:49:00+00:00,2737.22,TP,7.825,5.515,1.4189,15,S99_MSS_FVG_SHORT
s99_mss_fvg,BUY,2025-01-28 13:40:00+00:00,2748.71,2746.97,2751.32,2025-01-28 13:42:00+00:00,2746.97,SL,-2.19,1.74,-1.2586,13,S99_MSS_FVG_LONG
s99_mss_fvg,SELL,2025-01-29 13:25:00+00:00,2754.205,2756.91,2750.15,2025-01-29 13:35:00+00:00,2756.91,SL,-3.155,2.705,-1.1664,13,S99_MSS_FVG_SHORT
s99_mss_fvg,SELL,2025-01-29 15:43:00+00:00,2753.1,2755.02,2750.22,2025-01-29 16:00:00+00:00,2755.02,SL,-2.37,1.92,-1.2344,15,S99_MSS_FVG_SHORT
s99_mss_fvg,BUY,2025-01-30 09:03:00+00:00,2774.725,2772.35,2778.29,2025-01-30 09:21:00+00:00,2772.35,SL,-2.825,2.375,-1.1895,9,S99_MSS_FVG_LONG
s99_mss_fvg,BUY,2025-02-03 09:00:00+00:00,2796.235,2794.67,2798.58,2025-02-03 09:27:00+00:00,2798.58,TP,1.895,1.565,1.2109,9,S99_MSS_FVG_LONG
